date,time,request_header_user_agent__browser__version_string,request_header_referer,request_url,request_url_username,remote_host,request_header_user_agent__os__version_string,request_url_password,request_url_path,request_url_port,request_url_query,request_http_ver,response_bytes_clf,request_url_scheme,request_header_user_agent__is_mobile,request_url_netloc,request_header_user_agent__browser__family,request_url_hostname,remote_user,request_header_user_agent__os__family,request_method,request_first_line,request_url_fragment,status,request_header_user_agent,remote_logname,label,id
48.9,53.875,0,45,47,100,49.7692307692,0,100,47,100,0,48,51.75,0,98.2,0,102.8,100,45,102.8,74.6666666667,60.4285714286,0,48.6666666667,0,45,0,0
48.9,53.875,0,63.1578947368,98.0909090909,100,49.7692307692,0,100,98.0909090909,100,0,48,51.5,0,98.2,0,102.8,100,45,102.8,74.6666666667,84.4857142857,0,48.6666666667,0,45,0,1
48.9,53.875,0,45,95.8333333333,100,49.7692307692,0,100,95.8333333333,100,0,48,50.3333333333,0,98.2,0,102.8,100,45,102.8,74.6666666667,77.96,0,50.6666666667,0,45,0,2
48.9,52.875,0,45,47,100,50.0909090909,0,100,47,100,0,48,52,0,98.2,0,102.8,100,45,102.8,74.6666666667,60.4285714286,0,48.6666666667,0,45,0,3
48.9,52.75,0,45,47,100,50.5454545455,0,100,47,100,0,48,51.75,0,98.2,0,102.8,100,45,102.8,74.6666666667,60.4285714286,0,48.6666666667,0,45,0,4
48.9,52.75,0,63.1578947368,98.0909090909,100,50.5454545455,0,100,98.0909090909,100,0,48,51.5,0,98.2,0,102.8,100,45,102.8,74.6666666667,84.4857142857,0,48.6666666667,0,45,0,5
48.9,52.75,0,63.1578947368,95.8333333333,100,50.5454545455,0,100,95.8333333333,100,0,48,50.3333333333,0,98.2,0,102.8,100,45,102.8,74.6666666667,77.96,0,50.6666666667,0,45,0,6
48.9,52.875,0,45,47,100,50.5454545455,0,100,47,100,0,48,51.75,0,98.2,0,102.8,100,45,102.8,74.6666666667,60.4285714286,0,48.6666666667,0,45,0,7
49,52.5,0,45,47,100,50.5454545455,0,100,47,100,0,48,51.75,0,98.2,0,102.8,100,45,102.8,74.6666666667,60.4285714286,0,48.6666666667,0,45,0,8
49,52.5,0,62.2,98.0909090909,100,50.5454545455,0,100,98.0909090909,100,0,48,51.5,0,98.2,0,102.8,100,45,102.8,74.6666666667,84.4857142857,0,48.6666666667,0,45,0,9
49,52.5,0,45,95.8333333333,100,50.5454545455,0,100,95.8333333333,100,0,48,50.6666666667,0,98.2,0,102.8,100,45,102.8,74.6666666667,77.96,0,50.6666666667,0,45,0,10
49,52.5,0,45,95.8333333333,100,50.5454545455,0,100,95.8333333333,100,0,48,50.6666666667,0,98.2,0,102.8,100,45,102.8,74.6666666667,77.96,0,50.6666666667,0,45,0,11
49,52.375,0,45,47,100,50.5454545455,0,100,47,100,0,48,51.6666666667,0,98.2,0,102.8,100,45,102.8,74.6666666667,60.4285714286,0,49.6666666667,0,45,0,12
49,52.375,0,45,96.1923076923,100,50.5454545455,0,100,96.1923076923,100,0,48,51.25,0,98.2,0,102.8,100,45,102.8,74.6666666667,84.6153846154,0,48.6666666667,0,45,0,13
49,52.375,0,82.1777777778,91.3333333333,100,50.5454545455,0,100,97.78125,100,71.5555555556,48,54,0,98.2,0,102.8,100,45,102.8,74.6666666667,84.2727272727,0,48.6666666667,0,45,0,14
