Class,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
0,51481.4061393155,-0.2812201329,0.0555997219,0.6798982338,0.0793717113,-0.2574359828,0.126085555,-0.1435586482,-0.0297314531,-0.2711861225,-0.0090084944,0.1368696475,0.2375658039,-0.1296117932,0.0051104334,0.203129681,0.0698117843,-0.0298381272,-0.1124333316,-0.0318247546,0.0156915488,-0.05994473,-0.0868271363,-0.0391267491,0.0526564475,0.1402795503,0.0299025674,0.0178575072,-0.0031518312,81.7431286895
0,143118.978484566,0.1046275769,0.1333205252,-0.72277383,-0.1642914526,0.2909121413,-0.1282328333,0.0105326659,-0.0401963215,0.0104897592,0.0185975732,-0.3302745909,0.193379388,-0.1104049367,-0.0508761566,-0.1790943712,0.0202111874,-0.0501533409,0.0938673051,0.0388314465,-0.1241794308,0.0615991088,0.2040538156,0.0448000471,0.0416836652,-0.1127920332,-0.0022938349,-0.0262541243,0.0167173077,53.835191768
0,84567.4674220961,-0.0602011206,0.1602095636,0.8267527013,-0.3364565329,-0.362239667,-0.0992810583,-0.2576077622,0.0436281054,0.5089957469,-0.436367149,-0.0409538726,0.3854362033,-0.2300868473,-0.0583395275,0.5767254685,-0.1126434183,-0.1064272705,0.1121852665,0.1747087619,-0.0173611046,-0.067122745,-0.0192984474,-0.0559040826,-0.0724269926,0.2318440168,-0.2471296354,0.0059431843,0.0006796367,34.7166288952
0,35182.7388949084,-0.0693035686,-0.0144512296,0.7340471092,0.0733234152,-0.1397024489,0.0127320057,-0.1176384007,0.1184499949,-0.2555079359,0.0963980318,0.1235925946,0.1285006562,-0.1952049896,-0.0803073833,0.2174528366,-0.0055873371,-0.0097042569,-0.132892827,-0.0195380282,0.0264943716,-0.026771582,-0.0940559563,-0.0333259108,-0.0215265895,0.1595659341,0.0188954954,-0.0083742202,0.0134730471,64.3434344529
0,113118.026604069,1.0782854514,0.0862435127,-0.9519099048,-0.1123211194,0.4268755671,-0.4109301712,0.1895510751,-0.1463389295,0.3210686733,-0.0041899038,-0.3725010226,0.0528968139,-0.4330779765,0.2888665214,0.2975471257,-0.0651977838,-0.3619827809,0.169905628,0.0854846569,-0.1366015724,0.1696556836,0.4807836578,0.001385136,0.221899886,0.0585323557,-0.2411072675,0.0433299262,0.0016868028,24.3695461659
0,163595.614785992,0.4692685779,0.0550715434,-0.4198147472,-0.1450822622,0.162986546,-0.2474234369,0.0525708838,-0.0025343321,0.1394540164,-0.0857936513,-0.2863233777,0.2084432245,-0.1303580824,-0.0605166191,0.015117793,0.0407194991,-0.1930417313,0.1886935378,0.0811969068,-0.0809660649,-0.0011655654,0.0170620064,0.0381698258,-0.049805286,-0.1393422947,-0.1497361046,0.0261709652,-0.0109335701,52.1877626459
0,2043.3127490044,-0.4762085917,0.3667015636,0.9196840471,0.0211845733,-0.0776268032,0.0469562702,0.0811230281,-0.0266139643,0.0964752682,-0.0619856362,0.0592728865,0.2895915238,-0.1551024111,-0.1062549713,0.3470750079,-0.1972747264,-0.0274222525,-0.1576163137,-0.0044816349,0.0339965495,0.0520563794,-0.0841615537,-0.0152383737,0.0577446965,0.0694269169,-0.0113106058,0.0801322529,0.0027155923,55.4077689243
0,134518.326142132,0.3595561889,0.0780743626,-0.7140244457,-0.1857929064,0.4072909695,-0.099658378,0.1992401399,-0.15031776,-0.0707732678,0.0693484354,-0.2141332264,0.1223384678,-0.1508247271,-0.1064061896,-0.1897521169,-0.0249705062,-0.0906932788,0.1126274067,0.0095907362,-0.0662037238,0.0429833311,0.2128074455,0.0098011407,0.0192098279,-0.0716573384,0.0088955846,-0.0145719898,0.0129059121,65.5936928934
0,67563.1037099496,-0.1559822311,-0.0454485321,1.1670972219,-0.2322258306,-0.5089343981,0.3876416577,-0.5032054936,0.2081038089,0.0290617747,0.0491262091,-0.0944716101,0.0075871568,-0.452731291,-0.3989495666,-0.3177015826,0.2065985612,0.2250624324,-0.4042177329,0.1849988258,0.0279992731,-0.0172161073,0.1809393167,-0.0897652038,0.0244824711,0.1977149067,-0.0037936165,0.0601337629,0.0056056959,37.8005649241
0,125475.551625239,0.3895830886,-0.1328155922,-0.5665801556,-0.1110786406,0.4018500758,0.034898172,0.0813600842,-0.076673797,-0.0546434125,0.131611824,-0.2803814853,0.0532897127,-0.2269416792,-0.1047112247,-0.2155192493,-0.019121524,-0.1156041975,0.045779181,0.0269948129,-0.1002451384,0.0374048057,0.1889742312,0.047733082,-0.0270802977,-0.0775990282,-0.0428710655,-0.0157920888,-0.0027352714,67.7281166348
0,154213.662515567,0.4007257269,0.0424970895,-0.757387649,-0.1319970383,0.3796033921,-0.1797780321,0.1001588975,0.0235985295,-0.0283142411,0.0095635916,-0.2722636373,0.1863198398,-0.1143606392,-0.1089378143,-0.2488074226,-0.0061344088,-0.040060446,0.0655672109,0.0106709331,-0.0649103857,0.0219292708,0.1040252694,0.0680047745,0.0130229349,-0.1370889921,0.0197592773,-0.0001195753,-0.0125074807,57.3541220423
0,19889.643784787,0.4308675834,0.0047797771,0.7467524057,-0.11712516,-0.4452543264,-0.0641287814,-0.4948188251,0.0170309066,1.2473079542,-0.3498842015,0.9817494772,-2.5325010041,1.1757158079,1.2253474199,-0.7621011258,0.2727174874,1.0791955345,-0.4285469015,0.3064188222,-0.0508075203,-0.1060089843,-0.1322948063,-0.0426742712,0.0074674,0.2907133744,-0.2661510249,-0.013781098,-0.0108205702,25.7643599258
0,75937.7544517336,-0.2738005715,0.2475895055,0.6830566658,0.0641602351,-0.2218837897,-0.0087844517,-0.1229713904,0.1164003106,-0.1823195992,0.0964322499,0.1270009119,0.2538877881,-0.0340496452,-0.0965327747,0.3449083854,-0.0212900289,0.0098817928,-0.0791126759,-0.0661353937,0.0106503784,-0.0605046408,-0.1668163619,-0.0095738158,0.0034234171,0.1097803719,0.0490365182,-0.0095865491,-0.0207079371,55.4772164948
