Close,CloseTarget,MACD,MACDTarget,Stochastics,StochasticsTarget,ATR,ATRTarget
0.0627,0.06785,0.0001091194,0.0004552436,36.3060831269,49.0945104697,0.0117,0.01289
0.06785,0.0611,0.0004552436,0.0003176944,49.0945104697,34.9834983498,0.01289,0.00785
0.0611,0.06,0.0003176944,0.0001615755,34.9834983498,33.0895158481,0.00785,0.0033
0.06,0.06,0.0001615755,5.77687820823494E-05,33.0895158481,33.0895158481,0.0033,0.006
0.06,0.057,5.77687820823494E-05,-0.000177622,33.0895158481,33.5051546392,0.006,0.00531
0.057,0.061,-0.000177622,-9.34527221600595E-05,33.5051546392,54.1237113402,0.00531,0.004
0.061,0.0623,-9.34527221600595E-05,5.15967092429092E-05,54.1237113402,60.824742268,0.004,0.0017
0.0623,0.059,5.15967092429092E-05,-3.95228155493106E-05,60.824742268,43.8144329897,0.0017,0.0033
0.059,0.0609,-3.95228155493106E-05,2.14696446749178E-05,43.8144329897,35.2517985612,0.0033,0.002
0.0609,0.071,2.14696446749178E-05,0.0006894429,35.2517985612,100,0.002,0.0142
0.071,0.07,0.0006894429,0.0010743991,100,92.8571428571,0.0142,0.00449
0.07,0.067,0.0010743991,0.0011232933,92.8571428571,71.4285714286,0.00449,0.01541
0.067,0.07,0.0011232933,0.0013139524,71.4285714286,92.8571428571,0.01541,0.00859
0.07,0.0645,0.0013139524,0.0010539185,92.8571428571,53.5714285714,0.00859,0.0055
0.0645,0.067,0.0010539185,0.000999845,53.5714285714,71.4285714286,0.0055,0.005
0.067,0.06529,0.000999845,0.0008177102,71.4285714286,59.2142857143,0.005,0.002
0.06529,0.0655,0.0008177102,0.000675985,59.2142857143,60.7142857143,0.002,0.0059
0.0655,0.07,0.000675985,0.000849526,60.7142857143,92.8571428571,0.0059,0.01447
0.07,0.068,0.000849526,0.0008076038,92.8571428571,75,0.01447,0.0063
0.068,0.0667,0.0008076038,0.0006610704,75,64.1666666667,0.0063,0.0013
0.0667,0.0655,0.0006610704,0.0004513657,64.1666666667,54.1666666667,0.0013,0.0017
0.0655,0.0664,0.0004513657,0.0003449055,54.1666666667,54.4554455446,0.0017,0.0025
0.0664,0.066,0.0003449055,0.0002260865,54.4554455446,23.0769230769,0.0025,0.0052
0.066,0.06491,0.0002260865,5.50261828802194E-05,23.0769230769,7.4545454545,0.0052,0.00389
0.06491,0.065,5.50261828802194E-05,-6.69273433229472E-05,7.4545454545,9.0909090909,0.00389,0.00159
0.065,0.0648,-6.69273433229472E-05,-0.0001702533,9.0909090909,5.4545454545,0.00159,0.0024
0.0648,0.064,-0.0001702533,-0.0002983436,5.4545454545,0,0.0024,0.0018
0.064,0.065,-0.0002983436,-0.0003152293,0,16.6666666667,0.0018,0.002
0.065,0.0641,-0.0003152293,-0.0003844134,16.6666666667,1.6666666667,0.002,0.0009
0.0641,0.064,-0.0003844134,-0.0004323405,1.6666666667,0,0.0009,0.0008
0.064,0.06497,-0.0004323405,-0.0003887743,0,16.1666666667,0.0008,0.03689
0.06497,0.06,-0.0003887743,-0.0006962329,16.1666666667,0,0.03689,0.00497
0.06,0.0629,-0.0006962329,-0.0006904438,0,43.2835820896,0.00497,0.00329
0.0629,0.0634,-0.0006904438,-0.0006312673,43.2835820896,53.125,0.00329,0.0033
0.0634,0.06085,-0.0006312673,-0.00074976,53.125,13.28125,0.0033,0.00255
0.06085,0.06238,-0.00074976,-0.0007020991,13.28125,39.6666666667,0.00255,0.00153
0.06238,0.0616,-0.0007020991,-0.0007006664,39.6666666667,32,0.00153,0.0035
0.0616,0.0616,-0.0007006664,-0.0006761062,32,32,0.0035,0.0011
0.0616,0.061,-0.0006761062,-0.0006776476,32,20,0.0011,0.00171
0.061,0.062,-0.0006776476,-0.0005836551,20,40,0.00171,0.00101
0.062,0.06111,-0.0005836551,-0.0005584163,40,22.2,0.00101,0.00131
0.06111,0.0618,-0.0005584163,-0.0004698817,22.2,36.2173038229,0.00131,0.00166
0.0618,0.06366,-0.0004698817,-0.0002559767,36.2173038229,73.6418511066,0.00166,0.0032
0.06366,0.0615,-0.0002559767,-0.0002455882,73.6418511066,30.1810865191,0.0032,0.00216
0.0615,0.06219,-0.0002455882,-0.0001762833,30.1810865191,59.8360655738,0.00216,0.0033
0.06219,0.06199,-0.0001762833,-0.0001307238,59.8360655738,40.5693950178,0.0033,0.114
0.06199,0.0604,-0.0001307238,-0.0002021477,40.5693950178,0,0.114,0.0021
0.0604,0.0619,-0.0002021477,-0.0001335335,0,46.0122699387,0.0021,0.0015
0.0619,0.059,-0.0001335335,-0.0002817264,46.0122699387,0,0.0015,0.0029
0.059,0.061,-0.0002817264,-0.0002284456,0,42.9184549356,0.0029,0.00339
0.061,0.0627,-0.0002284456,-5.590105251807E-05,42.9184549356,79.3991416309,0.00339,0.0027
0.0627,0.0621,-5.590105251807E-05,3.11797442902267E-05,79.3991416309,66.5236051502,0.0027,0.0014
