Close,CloseTarget,High,HighTarget,Low,LowTarget,Open,OpenTarget
3,1.2,3,3,0.6747,0.15,0.6747,3
1.2,1.2,3,1.2,0.15,1.2,3,1.2
1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
1.2,0.99,1.2,1.2,1.2,0.6504,1.2,1.2
0.99,1.29,1.2,1.29,0.6504,0.905,1.2,0.99
1.29,1.88,1.29,1.88,0.905,1.26,0.99,1.29
1.88,1.79,1.88,2.1,1.26,1.79,1.29,1.88
1.79,1.79,2.1,1.79,1.79,1.5,1.88,1.79
1.79,1.37,1.79,1.79,1.5,0.5,1.79,1.79
1.37,1.3,1.79,1.59,0.5,1.25,1.79,1.37
1.3,1.36,1.59,1.36,1.25,1.15,1.37,1.3
1.36,1.24,1.36,1.36,1.15,0.99,1.3,1.36
1.24,1.52,1.36,1.52,0.99,1.24,1.36,1.24
1.52,1.44,1.52,1.53,1.24,1.44,1.24,1.52
1.44,1.4,1.53,1.44,1.44,1.4,1.52,1.44
1.4,1.35,1.44,1.4,1.4,1.31,1.44,1.4
1.35,1.24,1.4,1.35,1.31,1.24,1.4,1.35
1.24,1.27,1.35,1.28,1.24,1.22,1.35,1.24
1.27,1.18,1.28,1.27,1.22,1.08,1.24,1.27
1.18,1.14,1.27,1.19,1.08,1.14,1.27,1.18
1.14,1.3,1.19,1.3,1.14,1.14,1.18,1.14
1.3,1.18,1.3,1.3,1.14,1.15,1.14,1.3
1.18,1.32,1.3,1.35,1.15,1.17,1.3,1.18
1.32,1.31,1.35,1.32,1.17,0.9,1.18,1.32
1.31,1.36,1.32,1.38,0.9,1.31,1.32,1.31
1.36,1.14,1.38,1.37,1.31,1.14,1.31,1.36
1.14,1.23,1.37,1.33,1.14,1.14,1.36,1.14
1.23,1.35,1.33,1.4,1.14,1.28,1.14,1.28
1.35,1.37,1.4,1.37,1.28,1.23,1.28,1.23
1.37,1.34,1.37,1.39,1.23,1.34,1.23,1.37
1.34,1.28,1.39,1.34,1.34,1.28,1.37,1.34
1.28,1.26,1.34,1.28,1.28,1.26,1.34,1.28
1.26,1.21,1.28,1.26,1.26,1.21,1.28,1.26
1.21,1.19,1.26,1.21,1.21,1.12,1.26,1.21
1.19,0.9242,1.21,1.19,1.12,0.9242,1.21,1.19
0.9242,1.15,1.19,1.15,0.9242,0.9242,1.19,0.9242
1.15,0.8856,1.15,1.15,0.9242,0.8837,0.9242,1.15
0.8856,0.955,1.15,0.9622,0.8837,0.885,1.15,0.8856
0.955,0.95,0.9622,1,0.885,0.804,0.8856,0.955
0.95,0.9363,1,0.9563,0.804,0.9363,0.955,0.95
0.9363,0.875,0.9563,0.9363,0.9363,0.8238,0.95,0.9363
0.875,0.8523,0.9363,0.88,0.8238,0.8523,0.9363,0.875
0.8523,0.89,0.88,0.89,0.8523,0.8013,0.875,0.8523
0.89,0.8871,0.89,0.89,0.8013,0.88,0.8523,0.89
0.8871,0.9412,0.89,0.95,0.88,0.8871,0.89,0.8871
0.9412,0.8059,0.95,0.9412,0.8871,0.8059,0.8871,0.9412
0.8059,0.91,0.9412,0.91,0.8059,0.8059,0.9412,0.8059
0.91,0.8,0.91,0.91,0.8059,0.8,0.8059,0.91
0.8,0.6823,0.91,0.8,0.8,0.6823,0.91,0.8
0.6823,0.7703,0.8,0.7703,0.6823,0.6805,0.8,0.6823
