Close,CloseTarget,MACD,Stochastics,ATR
1.52,1.44,-0.0002452621,26.368159204,0.28
1.44,1.4,0.0015624505,50.5617977528,0.09
1.4,1.35,0.0008549194,46.0674157303,0.04
1.35,1.24,-0.0021018679,40.4494382022,0.09
1.24,1.27,-0.0098694733,28.0898876404,0.11
1.27,1.18,-0.0128083084,4.6875,0.06
1.18,1.14,-0.0192609341,0,0.19
1.14,1.3,-0.0250384869,0,0.05
1.3,1.18,-0.0182521238,24.6153846154,0.16
1.18,1.32,-0.0198198198,10.5263157895,0.15
1.32,1.31,-0.0112491042,47.3684210526,0.18
1.31,1.36,-0.00512473,44.7368421053,0.42
1.36,1.14,0.0028647364,57.8947368421,0.07
1.14,1.23,-0.0051845545,0,0.23
1.23,1.35,-0.0044445835,30,0.19
1.35,1.37,0.0043920765,80.7692307692,0.17
1.37,1.34,0.0121516066,100,0.14
1.34,1.28,0.0156276296,86.9565217391,0.05
1.28,1.26,0.0139831204,60.8695652174,0.06
1.26,1.21,0.0114199159,52.1739130435,0.02
1.21,1.19,0.00626999,30.4347826087,0.05
1.19,0.9242,0.0014604198,21.7391304348,0.09
0.9242,1.15,-0.0195578554,0,0.2658
1.15,0.8856,-0.0180044099,50.6505159264,0.2258
0.8856,0.955,-0.0339472585,0,0.2663
0.955,0.95,-0.038881953,14.3270024773,0.0772
0.95,0.9363,-0.0409646459,13.2947976879,0.196
0.9363,0.875,-0.0415290256,10.4665565648,0.02
0.875,0.8523,-0.0442518506,0,0.1125
0.8523,0.89,-0.0456940275,0,0.0277
0.89,0.8871,-0.0419450546,7.7301619848,0.0887
0.8871,0.9412,-0.0374354992,8.1365443068,0.01
0.9412,0.8059,-0.0285138852,21.8052489576,0.0629
0.8059,0.91,-0.0299797486,0,0.1353
0.91,0.8,-0.0219191401,27.1023171049,0.1041
0.8,0.6823,-0.0224018765,0,0.11
0.6823,0.7703,-0.029416446,0,0.1177
0.7703,0.7008,-0.0262976982,32.269893656,0.0898
0.7008,0.6,-0.0272112152,6.7840117345,0.0696
0.6,0.6816,-0.0331232943,0,0.1047
0.6816,0.7137,-0.0294399092,23.9155920281,0.1816
0.7137,0.6548,-0.0225771,33.3235638921,0.2354
0.6548,0.6647,-0.0201147122,16.060961313,0.0592
0.6647,0.6796,-0.015932487,18.9624853458,0.0112
0.6796,0.6095,-0.0102979703,23.3294255569,0.0149
0.6095,0.6078,-0.0098480163,2.7842907386,0.0701
0.6078,0.6511,-0.0081948303,2.5161290323,0.0017
0.6511,0.6,-0.0025343927,16.4838709677,0.0433
0.6,0.62,-0.0009481365,0,0.0511
0.62,0.6352,0.0027809197,11.7439812096,0.04
0.6352,0.6351,0.0075567911,20.6694069289,0.0651
0.6351,0.5993,0.0118185637,30.8707124011,0.1149
0.5993,0.63,0.013020328,0,0.0358
0.63,0.6017,0.0167587382,26.8356643357,0.0397
0.6017,0.5,0.0179333781,2.0979020979,0.0484
0.5,0.56,0.011996617,0,0.1017
0.56,0.525,0.0127784215,33.4075723831,0.0768
0.525,0.523,0.0114656587,13.9198218263,0.0372
0.523,0.505,0.0110646362,15.2217074785,0.02
0.505,0.5,0.0101617692,3.3090668432,0.018
0.5,0.44,0.0098523179,0,0.0229
0.44,0.42,0.0060226634,0,0.06
0.42,0.609,0.0026894004,0,0.0519
0.609,0.5649,0.0147765453,87.8252788104,0.198
0.5649,0.5561,0.0206397985,67.3640167364,0.109
0.5561,0.62,0.0244323642,64.8095238095,0.0549
0.62,0.706,0.0318249956,95.2380952381,0.1139
0.706,0.83,0.0430682176,100,0.086
0.83,0.99,0.0593429679,100,0.1998
0.99,1.12,0.0811600917,100,0.19
1.12,1.14,0.103947067,100,0.2283
1.14,0.8676,0.1186865136,100,0.22
0.8676,0.99,0.1061796124,62.1666666667,0.2724
0.99,0.9878,0.1030491245,79.1666666667,0.1224
0.9878,1.06,0.0975772193,78.8611111111,0.0847
1.06,0.799,0.0958539875,88.8888888889,0.2175
0.799,0.8764,0.0728200912,41.5995889707,0.2613
0.8764,0.9899,0.0596852089,54.8552834389,0.201
0.9899,0.93,0.0564715021,74.293543415,0.1999
0.93,1,0.0478519079,59.6153846154,0.1252
1,0.998,0.0449606755,67.7419354839,0.1055
0.998,0.9,0.0409838949,58.357771261,0.19
0.9,0.75,0.0294335473,29.6187683284,0.1
0.75,0.88,0.0091463263,0,0.21
0.88,0.9,0.0034276642,33.3333333333,0.15
0.9,0.88,0.0002667139,48.3870967742,0.0605
0.88,0.9193,-0.0038606994,41.935483871,0.0364
0.9193,0.925,-0.0042777658,54.6129032258,0.0447
0.925,1,-0.0044717431,56.4516129032,0.2638
1,0.9973,0.0004765898,100,0.0776
0.9973,0.94,0.0033158617,98.92,0.05
0.94,0.92,0.0006547358,76,0.08
0.92,0.96,-0.0031235402,68,0.03
0.96,0.97,-0.0032588262,84,0.04
0.97,0.92,-0.0029706165,88,0.0873
0.92,0.91,-0.006696365,68,0.05
0.91,0.87,-0.0102547656,64,0.04
0.87,0.86,-0.0157233963,0,0.0452
0.86,0.88,-0.0201931163,0,0.0945
0.88,0.91,-0.0216393392,14.2857142857,0.03
0.91,0.87,-0.0201649447,35.7142857143,0.03
0.87,0.88,-0.0216801579,7.1428571429,0.06
0.88,0.87,-0.0216410959,14.2857142857,0.0126
0.87,0.82,-0.021918383,7.2833211945,0.0462
0.82,0.83,-0.0252564063,0,0.07
0.83,0.84,-0.0263101003,6.6666666667,0.0321
0.84,0.8699,-0.0256894414,13.3333333333,0.0154
0.8699,0.825,-0.0224500769,33.2666666667,0.0348
0.825,0.79,-0.022811797,5,0.045
0.79,0.8102,-0.0249645023,0,0.0421
0.8102,0.8051,-0.0243201413,16.8333333333,0.1184
0.8051,0.8437,-0.0235126284,12.5833333333,0.0923
0.8437,0.8998,-0.01945179,44.75,0.0886
0.8998,0.96,-0.0119479965,91.5,0.13
