Close,CloseTarget,MACD,MACDTarget,Stochastics,StochasticsTarget,ATR,ATRTarget
1.52,1.44,-0.0002452621,0.0015624505,26.368159204,50.5617977528,0.28,0.09
1.44,1.4,0.0015624505,0.0008549194,50.5617977528,46.0674157303,0.09,0.04
1.4,1.35,0.0008549194,-0.0021018679,46.0674157303,40.4494382022,0.04,0.09
1.35,1.24,-0.0021018679,-0.0098694733,40.4494382022,28.0898876404,0.09,0.11
1.24,1.27,-0.0098694733,-0.0128083084,28.0898876404,4.6875,0.11,0.06
1.27,1.18,-0.0128083084,-0.0192609341,4.6875,0,0.06,0.19
1.18,1.14,-0.0192609341,-0.0250384869,0,0,0.19,0.05
1.14,1.3,-0.0250384869,-0.0182521238,0,24.6153846154,0.05,0.16
1.3,1.18,-0.0182521238,-0.0198198198,24.6153846154,10.5263157895,0.16,0.15
1.18,1.32,-0.0198198198,-0.0112491042,10.5263157895,47.3684210526,0.15,0.18
1.32,1.31,-0.0112491042,-0.00512473,47.3684210526,44.7368421053,0.18,0.42
1.31,1.36,-0.00512473,0.0028647364,44.7368421053,57.8947368421,0.42,0.07
1.36,1.14,0.0028647364,-0.0051845545,57.8947368421,0,0.07,0.23
1.14,1.23,-0.0051845545,-0.0044445835,0,30,0.23,0.19
1.23,1.35,-0.0044445835,0.0043920765,30,80.7692307692,0.19,0.17
1.35,1.37,0.0043920765,0.0121516066,80.7692307692,100,0.17,0.14
1.37,1.34,0.0121516066,0.0156276296,100,86.9565217391,0.14,0.05
1.34,1.28,0.0156276296,0.0139831204,86.9565217391,60.8695652174,0.05,0.06
1.28,1.26,0.0139831204,0.0114199159,60.8695652174,52.1739130435,0.06,0.02
1.26,1.21,0.0114199159,0.00626999,52.1739130435,30.4347826087,0.02,0.05
1.21,1.19,0.00626999,0.0014604198,30.4347826087,21.7391304348,0.05,0.09
1.19,0.9242,0.0014604198,-0.0195578554,21.7391304348,0,0.09,0.2658
0.9242,1.15,-0.0195578554,-0.0180044099,0,50.6505159264,0.2658,0.2258
1.15,0.8856,-0.0180044099,-0.0339472585,50.6505159264,0,0.2258,0.2663
0.8856,0.955,-0.0339472585,-0.038881953,0,14.3270024773,0.2663,0.0772
0.955,0.95,-0.038881953,-0.0409646459,14.3270024773,13.2947976879,0.0772,0.196
0.95,0.9363,-0.0409646459,-0.0415290256,13.2947976879,10.4665565648,0.196,0.02
0.9363,0.875,-0.0415290256,-0.0442518506,10.4665565648,0,0.02,0.1125
0.875,0.8523,-0.0442518506,-0.0456940275,0,0,0.1125,0.0277
0.8523,0.89,-0.0456940275,-0.0419450546,0,7.7301619848,0.0277,0.0887
0.89,0.8871,-0.0419450546,-0.0374354992,7.7301619848,8.1365443068,0.0887,0.01
0.8871,0.9412,-0.0374354992,-0.0285138852,8.1365443068,21.8052489576,0.01,0.0629
0.9412,0.8059,-0.0285138852,-0.0299797486,21.8052489576,0,0.0629,0.1353
0.8059,0.91,-0.0299797486,-0.0219191401,0,27.1023171049,0.1353,0.1041
0.91,0.8,-0.0219191401,-0.0224018765,27.1023171049,0,0.1041,0.11
0.8,0.6823,-0.0224018765,-0.029416446,0,0,0.11,0.1177
0.6823,0.7703,-0.029416446,-0.0262976982,0,32.269893656,0.1177,0.0898
0.7703,0.7008,-0.0262976982,-0.0272112152,32.269893656,6.7840117345,0.0898,0.0696
0.7008,0.6,-0.0272112152,-0.0331232943,6.7840117345,0,0.0696,0.1047
