Close,CloseTarget,MACD,MACDTarget,Stochastics,StochasticsTarget,ATR,ATRTarget
1.3638,1.363,0.0013216395,0.0011371859,83.2684824903,80.1556420233,0.0086,0.01
1.363,1.3621,0.0011371859,0.0009128515,80.1556420233,76.6536964981,0.01,0.0053
1.3621,1.3607,0.0009128515,0.000640356,76.6536964981,71.2062256809,0.0053,0.0076
1.3607,1.365,0.000640356,0.000659427,71.2062256809,85.8447488584,0.0076,0.0104
1.365,1.3689,0.000659427,0.0008564717,85.8447488584,100,0.0104,0.0076
1.3689,1.3768,0.0008564717,0.0014024847,100,100,0.0076,0.0136
1.3768,1.3798,0.0014024847,0.001887781,100,100,0.0136,0.005
1.3798,1.3838,0.001887781,0.0023763152,100,100,0.005,0.007
1.3838,1.3904,0.0023763152,0.0030096164,100,100,0.007,0.0091
1.3904,1.3868,0.0030096164,0.0030996062,100,88,0.0091,0.0065
1.3868,1.3875,0.0030996062,0.0030714063,88,90.3333333333,0.0065,0.0052
1.3875,1.3866,0.0030714063,0.0028590706,90.3333333333,87.2053872054,0.0052,0.004
1.3866,1.3982,0.0028590706,0.0033139351,87.2053872054,100,0.004,0.0162
1.3982,1.3967,0.0033139351,0.0033843944,100,96,0.0162,0.0053
1.3967,1.4074,0.0033843944,0.0039671649,96,100,0.0053,0.0139
1.4074,1.4091,0.0039671649,0.0043048475,100,100,0.0139,0.0079
1.4091,1.4085,0.0043048475,0.0043057163,100,98.6394557823,0.0079,0.0063
1.4085,1.4146,0.0043057163,0.0045079593,98.6394557823,100,0.0063,0.0094
1.4146,1.413,0.0045079593,0.0043309975,100,95.7671957672,0.0094,0.0052
1.413,1.4151,0.0043309975,0.0041356559,95.7671957672,100,0.0052,0.0067
1.4151,1.4272,0.0041356559,0.0046015444,100,100,0.0067,0.0134
1.4272,1.4232,0.0046015444,0.0044286735,100,90.1477832512,0.0134,0.0071
1.4232,1.4153,0.0044286735,0.0035421012,90.1477832512,70.6896551724,0.0071,0.01
1.4153,1.4085,0.0035421012,0.0022512265,70.6896551724,53.9408866995,0.01,0.012
1.4085,1.4135,0.0022512265,0.0015201802,53.9408866995,66.2561576355,0.012,0.0082
1.4135,1.4136,0.0015201802,0.000869394,66.2561576355,55.4098360656,0.0082,0.0126
1.4136,1.4057,0.000869394,-0.0002559935,55.4098360656,29.5081967213,0.0126,0.012
1.4057,1.4108,-0.0002559935,-0.0007824638,29.5081967213,23.7209302326,0.012,0.01
1.4108,1.4147,-0.0007824638,-0.0009518645,23.7209302326,41.8604651163,0.01,0.0079
1.4147,1.4194,-0.0009518645,-0.0008071273,41.8604651163,63.7209302326,0.0079,0.0107
1.4194,1.4179,-0.0008071273,-0.0008759409,63.7209302326,56.7441860465,0.0107,0.0061
1.4179,1.4212,-0.0008759409,-0.000757055,56.7441860465,72.0930232558,0.0061,0.0084
1.4212,1.4163,-0.000757055,-0.0010820472,72.0930232558,49.3023255814,0.0084,0.0086
1.4163,1.4203,-0.0010820472,-0.0010848654,49.3023255814,67.9069767442,0.0086,0.0074
1.4203,1.4293,-0.0010848654,-0.000507826,67.9069767442,100,0.0074,0.0116
1.4293,1.4305,-0.000507826,-8.77268877481647E-05,100,100,0.0116,0.0075
1.4305,1.4177,-8.77268877481647E-05,-0.000777578,100,48.3870967742,0.0075,0.0223
1.4177,1.4261,-0.000777578,-0.0007322553,48.3870967742,82.2580645161,0.0223,0.0111
1.4261,1.4267,-0.0007322553,-0.0007197119,82.2580645161,84.6774193548,0.0111,0.0081
1.4267,1.4323,-0.0007197119,-0.0003761658,84.6774193548,100,0.0081,0.0099
1.4323,1.4397,-0.0003761658,0.0003179972,100,100,0.0099,0.0081
1.4397,1.4425,0.0003179972,0.000911241,100,100,0.0081,0.0063
1.4425,1.444,0.000911241,0.0013213445,100,100,0.0063,0.0067
1.444,1.4481,0.0013213445,0.0017724926,100,100,0.0067,0.0087
1.4481,1.442,0.0017724926,0.0015115031,100,80.8176100629,0.0087,0.008
1.442,1.4508,0.0015115031,0.0018145547,80.8176100629,100,0.008,0.0111
1.4508,1.4463,0.0018145547,0.0015573129,100,86.4048338369,0.0111,0.0082
1.4463,1.4556,0.0015573129,0.0018941643,86.4048338369,100,0.0082,0.011
1.4556,1.4644,0.0018941643,0.0026016759,100,100,0.011,0.0178
1.4644,1.4674,0.0026016759,0.0031317426,100,100,0.0178,0.0089
1.4674,1.4676,0.0031317426,0.0033165958,100,100,0.0089,0.0124
1.4676,1.4535,0.0033165958,0.0022277915,100,65.5256723716,0.0124,0.015
1.4535,1.4603,0.0022277915,0.0017651779,65.5256723716,79.3201133144,0.015,0.0114
1.4603,1.4657,0.0017651779,0.0016569891,79.3201133144,93.1899641577,0.0114,0.0128
1.4657,1.4619,0.0016569891,0.0011429642,93.1899641577,77.734375,0.0128,0.0101
1.4619,1.4659,0.0011429642,0.0009154089,77.734375,93.359375,0.0101,0.0093
1.4659,1.4663,0.0009154089,0.0006387153,93.359375,94.921875,0.0093,0.007
1.4663,1.4823,0.0006387153,0.0014513492,94.921875,100,0.007,0.02
1.4823,1.4857,0.0014513492,0.0021032306,100,100,0.02,0.0099
1.4857,1.4855,0.0021032306,0.0023609931,100,99.4923857868,0.0099,0.0053
1.4855,1.4837,0.0023609931,0.0022154242,99.4923857868,93.7888198758,0.0053,0.0184
1.4837,1.4881,0.0022154242,0.0022314939,93.7888198758,100,0.0184,0.0083
1.4881,1.4831,0.0022314939,0.0016853673,100,85.549132948,0.0083,0.0101
1.4831,1.4831,0.0016853673,0.0011164308,85.549132948,85.549132948,0.0101,0.015
1.4831,1.4741,0.0011164308,-9.64631197094192E-05,85.549132948,59.5375722543,0.015,0.0127
1.4741,1.4632,-9.64631197094192E-05,-0.0018608256,59.5375722543,10.4316546763,0.0127,0.0157
1.4632,1.4665,-0.0018608256,-0.0029381038,10.4316546763,17.5572519084,0.0157,0.0089
1.4665,1.4766,-0.0029381038,-0.0030057877,17.5572519084,56.106870229,0.0089,0.0134
1.4766,1.4604,-0.0030057877,-0.0042411495,56.106870229,0,0.0134,0.018
1.4604,1.4632,-0.0042411495,-0.0048936135,0,10.1083032491,0.018,0.0126
1.4632,1.4657,-0.0048936135,-0.0051301615,10.1083032491,19.1335740072,0.0126,0.0074
1.4657,1.4714,-0.0051301615,-0.0048305746,19.1335740072,39.7111913357,0.0074,0.0097
1.4714,1.4651,-0.0048305746,-0.0050175098,39.7111913357,16.9675090253,0.0097,0.0112
1.4651,1.4707,-0.0050175098,-0.0046824094,16.9675090253,37.1841155235,0.0112,0.0099
1.4707,1.4627,-0.0046824094,-0.0049599798,37.1841155235,8.3032490975,0.0099,0.0162
1.4627,1.4419,-0.0049599798,-0.0065732125,8.3032490975,0,0.0162,0.025
1.4419,1.44,-0.0065732125,-0.0077136027,0,0,0.025,0.0124
1.44,1.4409,-0.0077136027,-0.0082745444,0,2.4590163934,0.0124,0.0071
1.4409,1.4378,-0.0082745444,-0.0086865435,2.4590163934,0,0.0071,0.0099
1.4378,1.432,-0.0086865435,-0.0091642013,0,0,0.0099,0.0083
1.432,1.4367,-0.0091642013,-0.0089091165,0,10.5381165919,0.0083,0.0095
1.4367,1.4399,-0.0089091165,-0.0082429622,10.5381165919,20.0507614213,0.0095,0.0055
1.4399,1.4405,-0.0082429622,-0.0074853745,20.0507614213,21.5736040609,0.0055,0.0026
1.4405,1.4493,-0.0074853745,-0.0060905322,21.5736040609,43.9086294416,0.0026,0.0117
1.4493,1.4613,-0.0060905322,-0.0040542552,43.9086294416,74.3654822335,0.0117,0.0171
1.4613,1.4717,-0.0040542552,-0.0017408393,74.3654822335,100,0.0171,0.0137
1.4717,1.459,-0.0017408393,-0.0009616287,100,68.0100755668,0.0137,0.0179
1.459,1.4589,-0.0009616287,-0.0003837304,68.0100755668,67.758186398,0.0179,0.0032
1.4589,1.4727,-0.0003837304,0.0010318266,67.758186398,100,0.0032,0.0163
1.4727,1.4748,0.0010318266,0.0021519778,100,100,0.0163,0.0096
1.4748,1.4745,0.0021519778,0.0028533813,100,99.2990654206,0.0096,0.013
1.4745,1.4689,0.0028533813,0.0028534708,99.2990654206,86.214953271,0.013,0.0099
1.4689,1.4708,0.0028534708,0.0028941121,86.214953271,90.6542056075,0.0099,0.0066
1.4708,1.4661,0.0028941121,0.0024850176,90.6542056075,77.1653543307,0.0066,0.0105
1.4661,1.4807,0.0024850176,0.0031543661,77.1653543307,100,0.0105,0.0176
1.4807,1.4777,0.0031543661,0.0032958743,100,92.5373134328,0.0176,0.0059
1.4777,1.4868,0.0032958743,0.0039254741,92.5373134328,100,0.0059,0.0139
1.4868,1.4808,0.0039254741,0.0037907654,100,78.4946236559,0.0139,0.0123
1.4808,1.4659,0.0037907654,0.0024782213,78.4946236559,25.0896057348,0.0123,0.0265
1.4659,1.4659,0.0024782213,0.0014437893,25.0896057348,25.0896057348,0.0265,0.0127
1.4659,1.4611,0.0014437893,0.0002922547,25.0896057348,7.8853046595,0.0127,0.0093
1.4611,1.4446,0.0002922547,-0.00174534,7.8853046595,0,0.0093,0.0189
1.4446,1.4627,-0.00174534,-0.0018569055,0,42.8909952607,0.0189,0.0279
1.4627,1.4638,-0.0018569055,-0.0018250723,42.8909952607,45.4976303318,0.0279,0.0174
1.4638,1.4768,-0.0018250723,-0.000836785,45.4976303318,76.3033175355,0.0174,0.019
1.4768,1.4672,-0.000836785,-0.0008270675,76.3033175355,53.5545023697,0.019,0.0116
1.4672,1.4786,-0.0008270675,0.000000827,53.5545023697,80.5687203791,0.0116,0.0139
1.4786,1.4777,0.000000827,0.0004962192,80.5687203791,78.4360189573,0.0139,0.0061
1.4777,1.488,0.0004962192,0.0015448263,78.4360189573,100,0.0061,0.0151
1.488,1.4866,0.0015448263,0.0021083599,100,96.7741935484,0.0151,0.0114
