Close,CloseTarget,MACD,Stochastics,ATR
36.59,34.990002,0.7451114953,100,2.630001
34.990002,33.240002,0.6996658468,83.1401685985,2.809997
33.240002,31.43,0.5457477379,64.6997049526,2.909999
31.43,31.6,0.3188157783,45.626975764,3.990002
31.6,33.040001,0.1580568801,47.4183350896,2.370001
33.040001,31.73,0.119362962,62.1131417168,2.9
31.73,31.059999,0.0074450984,48.132342782,2.120001
31.059999,31.73,-0.1145193497,40.9818526167,2.19
31.73,31.67,-0.1599868864,36.220480811,1.870001
31.67,36.32,-0.1947335714,35.4330793395,0.83
36.32,36.619999,0.0678249321,95.1175415701,5.370001
36.619999,37.529999,0.2613371609,100,3.100003
37.529999,35.810001,0.4388931285,100,2.450001
35.810001,35.07,0.4331323149,73.4157959815,2.829998
35.07,31.99,0.361075705,61.9783771252,2.68
31.99,32.060001,0.0933198568,14.374049459,3.539999
32.060001,29.440001,-0.0993004607,15.4559814529,2.080002
29.440001,30.01,-0.4093280968,0,2.970001
30.01,29.42,-0.581782461,7.0457248568,2.539999
29.42,30.610001,-0.7284747347,0,1.49
30.610001,32.459999,-0.7329001674,14.6732570497,1.549999
32.459999,32.66,-0.5918018821,37.4845792213,3.480002
32.66,32.040001,-0.4631864218,39.9506831012,1.970001
32.040001,31.5,-0.4024873258,32.3058116283,0.99
31.5,30.780001,-0.3857222308,25.6473521143,1.85
30.780001,30.91,-0.4123892187,16.7694348668,1.370001
30.91,31.02,-0.4101084168,23.317680232,1.370001
31.02,30.92,-0.3884242368,28.3185840708,1.42
30.92,31.559999,-0.3678282774,46.2962962963,0.940001
31.559999,33.73,-0.2969868018,66.0493518519,1.340001
33.73,34.400002,-0.0862990514,100,3.22
34.400002,36.209999,0.1120923463,100,2.669998
36.209999,36.380001,0.3750378347,100,1.819999
36.380001,35.259998,0.560147948,100,1.669998
35.259998,35.369999,0.5934922516,79.9999464286,1.639999
35.369999,34.450001,0.6044256995,81.96425,1.270001
34.450001,36.130001,0.5261035999,65.5357142857,6.389999
36.130001,38.34,0.5698592227,95.5357142857,2.169998
38.34,43.209999,0.7351355963,100,2.259998
43.209999,41.200001,1.1680197324,100,4.880001
41.200001,41.380001,1.2881582144,83.6452549752,7.73
41.380001,47.990002,1.3374981159,85.1098604646,3.260002
47.990002,51.759998,1.7895987855,100,7.369999
51.759998,50.720001,2.3080454149,100,4.610001
50.720001,48.540001,2.5127529691,94.0092324906,2.779999
48.540001,44.84,2.4058466297,81.3980499246,4.740002
44.84,41.950001,1.9717440892,60.0231126557,5.040001
41.950001,43.389999,1.376083637,43.3275638349,5.069999
43.389999,42.259998,0.9922333318,51.6464445372,5.180001
42.259998,41.439999,0.5857426211,45.1184191424,3.18
41.439999,41.84,0.1976623685,33.9731223237,1.929996
41.84,45.240002,-0.0782708197,26.080480787,2.66
45.240002,45.630001,-0.0521126063,38.2575960959,4.110001
45.630001,44.419998,-0.0285728353,41.9507694936,2.700001
44.419998,41.77,-0.1218777819,29.2870701215,2.100002
41.77,39.990002,-0.3973763874,3.1976844184,3.180001
39.990002,41.060001,-0.7299535978,0,4.180001
41.060001,38.380001,-0.8875691861,9.9720326162,3.480004
38.380001,36.619999,-1.1839969884,0,3.73
36.619999,37.57,-1.5017117554,0,3.18
37.57,38.41,-1.6286673825,10.5438489359,2.509999
38.41,39.849998,-1.623074868,19.8668213392,2.440003
39.849998,40.23,-1.4793818036,35.8490375474,3.25
40.23,38.490002,-1.3171070607,40.0665948798,2.830002
38.490002,36.759998,-1.2972543607,20.7547456704,2.740002
36.759998,33.509998,-1.3762820586,1.5538176351,2.129997
33.509998,36.09,-1.629868955,0,4.209999
36.09,35.889999,-1.578828374,23.6480476627,2.940003
35.889999,35.060001,-1.512049538,28.8135644519,2.820004
35.060001,34,-1.4797424992,20.5298329021,2.329998
34,33.939999,-1.4875821235,6.4900901364,2.439999
33.939999,31.34,-1.4500945087,6.3988225004,2.43
