Close,CloseTarget,MACD,MACDTarget,Stochastics,StochasticsTarget,ATR,ATRTarget
36.59,34.990002,0.7451114953,0.6996658468,100,83.1401685985,2.630001,2.809997
34.990002,33.240002,0.6996658468,0.5457477379,83.1401685985,64.6997049526,2.809997,2.909999
33.240002,31.43,0.5457477379,0.3188157783,64.6997049526,45.626975764,2.909999,3.990002
31.43,31.6,0.3188157783,0.1580568801,45.626975764,47.4183350896,3.990002,2.370001
31.6,33.040001,0.1580568801,0.119362962,47.4183350896,62.1131417168,2.370001,2.9
33.040001,31.73,0.119362962,0.0074450984,62.1131417168,48.132342782,2.9,2.120001
31.73,31.059999,0.0074450984,-0.1145193497,48.132342782,40.9818526167,2.120001,2.19
31.059999,31.73,-0.1145193497,-0.1599868864,40.9818526167,36.220480811,2.19,1.870001
31.73,31.67,-0.1599868864,-0.1947335714,36.220480811,35.4330793395,1.870001,0.83
31.67,36.32,-0.1947335714,0.0678249321,35.4330793395,95.1175415701,0.83,5.370001
36.32,36.619999,0.0678249321,0.2613371609,95.1175415701,100,5.370001,3.100003
36.619999,37.529999,0.2613371609,0.4388931285,100,100,3.100003,2.450001
37.529999,35.810001,0.4388931285,0.4331323149,100,73.4157959815,2.450001,2.829998
35.810001,35.07,0.4331323149,0.361075705,73.4157959815,61.9783771252,2.829998,2.68
35.07,31.99,0.361075705,0.0933198568,61.9783771252,14.374049459,2.68,3.539999
31.99,32.060001,0.0933198568,-0.0993004607,14.374049459,15.4559814529,3.539999,2.080002
32.060001,29.440001,-0.0993004607,-0.4093280968,15.4559814529,0,2.080002,2.970001
29.440001,30.01,-0.4093280968,-0.581782461,0,7.0457248568,2.970001,2.539999
30.01,29.42,-0.581782461,-0.7284747347,7.0457248568,0,2.539999,1.49
29.42,30.610001,-0.7284747347,-0.7329001674,0,14.6732570497,1.49,1.549999
30.610001,32.459999,-0.7329001674,-0.5918018821,14.6732570497,37.4845792213,1.549999,3.480002
32.459999,32.66,-0.5918018821,-0.4631864218,37.4845792213,39.9506831012,3.480002,1.970001
32.66,32.040001,-0.4631864218,-0.4024873258,39.9506831012,32.3058116283,1.970001,0.99
32.040001,31.5,-0.4024873258,-0.3857222308,32.3058116283,25.6473521143,0.99,1.85
31.5,30.780001,-0.3857222308,-0.4123892187,25.6473521143,16.7694348668,1.85,1.370001
30.780001,30.91,-0.4123892187,-0.4101084168,16.7694348668,23.317680232,1.370001,1.370001
30.91,31.02,-0.4101084168,-0.3884242368,23.317680232,28.3185840708,1.370001,1.42
31.02,30.92,-0.3884242368,-0.3678282774,28.3185840708,46.2962962963,1.42,0.940001
30.92,31.559999,-0.3678282774,-0.2969868018,46.2962962963,66.0493518519,0.940001,1.340001
31.559999,33.73,-0.2969868018,-0.0862990514,66.0493518519,100,1.340001,3.22
33.73,34.400002,-0.0862990514,0.1120923463,100,100,3.22,2.669998
34.400002,36.209999,0.1120923463,0.3750378347,100,100,2.669998,1.819999
36.209999,36.380001,0.3750378347,0.560147948,100,100,1.819999,1.669998
36.380001,35.259998,0.560147948,0.5934922516,100,79.9999464286,1.669998,1.639999
