Close,CloseTarget,MACD,MACDTarget,Stochastics,StochasticsTarget,ATR,ATRTarget
50.819469,50.824436,-0.1530277242,-0.1133733773,24.387688623,24.4941701015,1.256825,0.849476
50.824436,52.324677,-0.1133733773,-0.0010828362,24.4941701015,56.6560142313,0.849476,2.613002
52.324677,53.402668,-0.0010828362,0.134786208,56.6560142313,94.8101606431,2.613002,1.530052
53.402668,55.384777,0.134786208,0.3335185622,94.8101606431,100,1.530052,2.588165
55.384777,55.638126,0.3335185622,0.4721024335,100,100,2.588165,2.00198
55.638126,56.616764,0.4721024335,0.6070437963,100,100,2.00198,2.061588
56.616764,58.365391,0.6070437963,0.7807237728,100,100,2.061588,1.957272
58.365391,59.294346,0.7807237728,0.9272962163,100,100,1.957272,2.399391
59.294346,58.539257,0.9272962163,0.9484762729,100,92.1447014714,2.399391,1.445599
58.539257,58.807514,0.9484762729,0.9435380948,92.1447014714,94.9354172909,1.445599,1.420757
58.807514,60.01963,0.9435380948,0.9784372681,94.9354172909,100,1.420757,2.786873
60.01963,59.527828,0.9784372681,0.9328127613,100,94.8544617954,2.786873,2.15598
59.527828,58.747902,0.9328127613,0.8131159174,94.8544617954,86.1771114658,2.15598,1.530049
58.747902,63.020115,0.8131159174,0.9674829803,86.1771114658,100,1.530049,4.54047
63.020115,65.116478,0.9674829803,1.1689939478,100,100,4.54047,4.366603
65.116478,64.381264,1.1689939478,1.2125867458,100,93.7235280408,4.366603,1.639343
64.381264,65.861633,1.2125867458,1.2878775275,93.7235280408,100,1.639343,2.652748
65.861633,67.09362,1.2878775275,1.3657943981,100,100,2.652748,2.131142
67.09362,68.737923,1.3657943981,1.4694380525,100,100,2.131142,3.124672
68.737923,68.097092,1.4694380525,1.4341467967,100,93.8218460064,3.124672,1.217079
68.097092,68.976372,1.4341467967,1.4028064233,93.8218460064,100,1.217079,1.654236
68.976372,68.419991,1.4028064233,1.2770590464,100,94.66920696,1.654236,1.321404
68.419991,67.192978,1.2770590464,1.0419654735,94.66920696,82.5644109041,1.321404,2.488815
67.192978,68.256058,1.0419654735,0.892055326,82.5644109041,92.95775419,2.488815,2.0914
68.256058,69.994751,0.892055326,0.8523087797,92.95775419,100,2.0914,3.05513
69.994751,70.541199,0.8523087797,0.8089364936,100,100,3.05513,1.897659
70.541199,71.589378,0.8089364936,0.7981790055,100,100,1.897659,1.763535
71.589378,74.098061,0.7981790055,0.9109423345,100,100,1.763535,3.969185
74.098061,73.492004,0.9109423345,0.8906752057,100,93.7627903516,3.969185,2.508682
73.492004,69.791077,0.8906752057,0.5613042966,93.7627903516,47.7081084179,2.508682,4.664658
69.791077,74.207352,0.5613042966,0.5889482074,47.7081084179,100,4.664658,4.788856
74.207352,85.657875,0.5889482074,1.3581361154,100,100,4.788856,15.295517
85.657875,93.094513,1.3581361154,2.3442588833,100,100,15.295517,10.928925
93.094513,90.312607,2.3442588833,2.7337646281,100,89.2596867329,10.928925,6.279159
90.312607,92.384132,2.7337646281,3.027933677,89.2596867329,97.2573787615,6.279159,3.84996
92.384132,96.025444,3.027933677,3.3527571928,97.2573787615,100,3.84996,4.3666
96.025444,94.704041,3.3527571928,3.3357910537,100,95.2415116416,4.3666,4.64479
94.704041,97.38163,3.3357910537,3.3567403518,95.2415116416,100,4.64479,3.492286
97.38163,96.805374,3.3567403518,3.1703280067,100,97.9114010509,3.492286,2.935905
96.805374,95.215714,3.1703280067,2.7684285033,97.9114010509,92.1497912709,2.935905,5.389946
95.215714,91.753235,2.7684285033,2.0916395972,92.1497912709,79.6002820241,5.389946,4.133118
91.753235,84.127831,2.0916395972,0.9450555351,79.6002820241,51.9625467456,4.133118,8.02282
84.127831,85.717491,0.9450555351,0.1561702132,51.9625467456,57.7241565256,8.02282,3.025321
85.717491,83.804932,0.1561702132,-0.6041678472,57.7241565256,41.4147961805,3.025321,4.932915
83.804932,83.387642,-0.6041678472,-1.2132544388,41.4147961805,0,4.932915,3.075005
83.387642,90.918663,-1.2132544388,-1.1296138744,0,53.8161173212,3.075005,8.037719
90.918663,90.411957,-1.1296138744,-1.1307356123,53.8161173212,50.195233839,8.037719,6.159935
90.411957,91.837685,-1.1307356123,-1.0526771424,50.195233839,60.3833803488,6.159935,4.754082
91.837685,85.712524,-1.0526771424,-1.4581159197,60.3833803488,16.6134342834,4.754082,6.97464
85.712524,85.69265,-1.4581159197,-1.7547171576,16.6134342834,16.4714161539,6.97464,4.222541
85.69265,83.228676,-1.7547171576,-2.1374769212,16.4714161539,0,4.222541,4.316917
83.228676,84.152664,-2.1374769212,-2.3245970069,0,6.8056901612,4.316917,1.718826
84.152664,82.016563,-2.3245970069,-2.5836386077,6.8056901612,0,1.718826,4.068543
82.016563,83.218742,-2.5836386077,-2.6437696796,0,12.2407500895,4.068543,2.846482
83.218742,86.815353,-2.6437696796,-2.3875927358,12.2407500895,48.8619324757,2.846482,4.813691
86.815353,89.115387,-2.3875927358,-2.0064593323,48.8619324757,72.2811914973,4.813691,2.617966
89.115387,89.940025,-2.0064593323,-1.6525532885,72.2811914973,80.6777677744,2.617966,2.702423
89.940025,90.402023,-1.6525532885,-1.3531769581,80.6777677744,85.3818942479,2.702423,1.36612
90.402023,89.398552,-1.3531769581,-1.2051027103,85.3818942479,75.1644160413,1.36612,1.465469
89.398552,89.120361,-1.2051027103,-1.1151692759,75.1644160413,72.3318374418,1.465469,1.470436
89.120361,89.617126,-1.1151692759,-1.0123575672,72.3318374418,77.3899662381,1.470436,1.718819
89.617126,87.575409,-1.0123575672,-1.0843397704,77.3899662381,66.2914854999,1.718819,2.324882
87.575409,85.16111,-1.0843397704,-1.3027431894,66.2914854999,37.4999940373,2.324882,2.851456
85.16111,84.440796,-1.3027431894,-1.4946258381,37.4999940373,28.909958428,2.851456,2.459007
84.440796,86.154648,-1.4946258381,-1.4856060062,28.909958428,49.3483362869,2.459007,2.498749
86.154648,85.270401,-1.4856060062,-1.5196650408,49.3483362869,38.803333389,2.498749,1.783402
85.270401,84.674278,-1.5196650408,-1.5606412161,38.803333389,20.262829757,1.783402,1.852952
84.674278,88.767654,-1.5606412161,-1.2673068003,20.262829757,72.583345677,1.852952,4.580208
88.767654,89.309128,-1.2673068003,-1.0007349961,72.583345677,81.666609911,4.580208,2.001983
89.309128,87.664825,-1.0007349961,-0.9170932209,81.666609911,54.083312043,2.001983,2.255333
87.664825,89.45816,-0.9170932209,-0.7176021057,54.083312043,84.166632138,2.255333,2.001976
89.45816,91.912201,-0.7176021057,-0.3945842721,84.166632138,100,2.001976,4.162926
91.912201,91.281303,-0.3945842721,-0.2155343991,100,91.5558318683,4.162926,2.225525
91.281303,92.548065,-0.2155343991,-0.0073735617,91.5558318683,100,2.225525,1.907593
92.548065,93.342896,-0.0073735617,0.1808383682,100,100,1.907593,1.291603
93.342896,95.334938,0.1808383682,0.4346508639,100,100,1.291603,2.682548
95.334938,95.757195,0.4346508639,0.6135279453,100,100,2.682548,1.261795
95.757195,95.826736,0.6135279453,0.7078585137,100,100,1.261795,0.86438
95.826736,98.161552,0.7078585137,0.9012740359,100,100,0.86438,3.169388
98.161552,95.772095,0.9012740359,0.8184168175,100,82.2836178756,3.169388,3.636352
95.772095,100.700043,0.8184168175,1.0674811591,82.2836178756,100,3.636352,5.389946
100.700043,96.621567,1.0674811591,0.8952013746,100,68.7118696442,5.389946,4.694466
96.621567,96.129768,0.8952013746,0.6876553886,68.7118696442,64.9390213497,4.694466,2.319908
96.129768,93.665794,0.6876553886,0.3195585549,64.9390213497,37.4281959704,2.319908,4.063568
93.665794,96.298668,0.3195585549,0.2153888038,37.4281959704,53.2700233789,4.063568,2.831581
96.298668,96.899757,0.2153888038,0.1545951923,53.2700233789,59.6518642621,2.831581,3.114738
96.899757,96.144669,0.1545951923,0.0288240391,59.6518642621,44.1194026775,3.114738,2.250366
96.144669,97.058723,0.0288240391,-0.0189930912,44.1194026775,50.5063579673,2.250366,2.697456
97.058723,97.03389,-0.0189930912,-0.077678223,50.5063579673,47.8813871957,2.697456,1.65921
97.03389,99.338898,-0.077678223,0.0251529498,47.8813871957,80.6497466894,1.65921,2.920998
99.338898,101.291199,0.0251529498,0.2132518733,80.6497466894,100,2.920998,3.159454
101.291199,98.01252,0.2132518733,0.0797760597,100,57.0032149112,3.159454,4.267242
98.01252,96.333443,0.0797760597,-0.1614716413,57.0032149112,34.983702505,4.267242,2.632874
96.333443,93.53167,-0.1614716413,-0.5514173921,34.983702505,0,2.632874,3.596603
93.53167,89.776093,-0.5514173921,-1.1016096456,0,0,3.596603,4.475891
89.776093,87.987724,-1.1016096456,-1.6047806646,0,0,4.475891,2.955772
87.987724,94.008568,-1.6047806646,-1.4963535999,0,45.2576789147,2.955772,6.105294
94.008568,93.432312,-1.4963535999,-1.4319797477,45.2576789147,40.9260587929,6.105294,2.006951
93.432312,94.555008,-1.4319797477,-1.277134668,40.9260587929,49.3651771436,2.006951,4.152992
94.555008,97.177948,-1.277134668,-0.9542862737,49.3651771436,69.0813791134,4.152992,2.990555
97.177948,95.329971,-0.9542862737,-0.8431325748,69.0813791134,55.1904446019,2.990555,2.995514
95.329971,102.314545,-0.8431325748,-0.2497843244,55.1904446019,100,2.995514,12.369545
102.314545,104.748711,-0.2497843244,0.3382697204,100,100,12.369545,3.75557
104.748711,101.519714,0.3382697204,0.4968995012,100,80.735042632,3.75557,4.10331
101.519714,97.38163,0.4968995012,0.2818394981,80.735042632,56.0462578964,4.10331,5.409813
97.38163,98.678192,0.2818394981,0.1999639891,56.0462578964,63.7818524649,5.409813,2.727256
98.678192,95.171005,0.1999639891,-0.1304696991,63.7818524649,42.8571479711,2.727256,6.030777
95.171005,93.382637,-0.1304696991,-0.5020848132,42.8571479711,32.1873228587,6.030777,3.457512
93.382637,93.094513,-0.5020848132,-0.7826067096,32.1873228587,30.4683071468,3.457512,3.104805
93.094513,95.871452,-0.7826067096,-0.7690122544,30.4683071468,23.8278000768,3.104805,6.000969
95.871452,96.984215,-0.7690122544,-0.6670566268,23.8278000768,33.3759731901,6.000969,3.402863
96.984215,98.563934,-0.6670566268,-0.4717647268,33.3759731901,46.9309085018,3.402863,2.498749
98.563934,98.310585,-0.4717647268,-0.3479502025,46.9309085018,44.7570223193,2.498749,1.460503
98.310585,98.335426,-0.3479502025,-0.2581190448,44.7570223193,44.9701729797,1.460503,1.082962
98.335426,95.066681,-0.2581190448,-0.4312745884,44.9701729797,16.9223828186,1.082962,4.227501
95.066681,96.348351,-0.4312745884,-0.4571707193,16.9223828186,27.9198791714,4.227501,2.891197
96.348351,93.834694,-0.4571707193,-0.6503569539,27.9198791714,8.7853215609,2.891197,5.822136
93.834694,92.33445,-0.6503569539,-0.8818438614,8.7853215609,0,5.822136,2.19075
92.33445,93.387604,-0.8818438614,-0.9486317185,0,16.6014633004,2.19075,1.99701
93.387604,92.428841,-0.9486317185,-1.04051417,16.6014633004,1.5152298328,1.99701,3.84996
92.428841,91.991684,-1.04051417,-1.1085264728,1.5152298328,0,3.84996,1.644303
