Close,CloseTarget,MACD,MACDTarget,Stochastics,StochasticsTarget,ATR,ATRTarget
57.25,57.25,0.2926287857,0.4777307746,100,100,5.5,0
57.25,57.25,0.4777307746,0.5843026739,100,100,0,0
57.25,57.25,0.5843026739,0.6338706748,100,100,0,0
57.25,57.25,0.6338706748,0.642532959,100,100,0,0
57.25,57.25,0.642532959,0.6223863056,100,100,0,0
57.25,57.25,0.6223863056,0.5825415376,100,100,0,0
57.25,57.25,0.5825415376,0.5298586059,100,100,0,0
57.25,57.25,0.5298586059,0.4694867812,100,100,0,0
57.25,57.25,0.4694867812,0.4052669505,100,100,0,0
57.25,57.25,0.4052669505,0.3400347549,100,100,0,0
57.25,57.25,0.3400347549,0.2758513483,100,100,0,0
57.25,57.25,0.2758513483,0.2141805981,100,100,0,0
57.25,57.25,0.2141805981,-0.291138448,100,0,0,1.349998
56.23,56.23,-0.291138448,-0.3384618276,0,0,1.349998,0
56.23,53.990002,-0.3384618276,-0.5230549156,0,0,0,2.239998
53.990002,55.599998,-0.5230549156,-0.5282812763,0,49.3864106665,2.239998,1.609996
55.599998,55.599998,-0.5282812763,-0.5192481273,49.3864106665,49.3864106665,1.609996,0
55.599998,55.599998,-0.5192481273,-0.4998671822,49.3864106665,49.3864106665,0,0
55.599998,55.599998,-0.4998671822,-0.4732460279,49.3864106665,49.3864106665,0,0
55.599998,55.599998,-0.4732460279,-0.4418351449,49.3864106665,49.3864106665,0,0
55.599998,55.599998,-0.4418351449,-0.4075495291,49.3864106665,49.3864106665,0,0
55.599998,55.599998,-0.4075495291,-0.3718691924,49.3864106665,49.3864106665,0,0
55.599998,56.25,-0.3718691924,-0.2898997688,49.3864106665,69.3251345553,0,0.840001
56.25,53.450001,-0.2898997688,-0.4220751085,69.3251345553,0,0.840001,2.799999
53.450001,53.830002,-0.4220751085,-0.4750570725,0,10.0000289474,2.799999,0.380001
53.830002,53.830002,-0.4750570725,-0.4969485455,10.0000289474,13.5714691327,0.380001,0
53.830002,53.830002,-0.4969485455,-0.4956608584,13.5714691327,13.5714691327,0,0
53.830002,53.830002,-0.4956608584,-0.4775113839,13.5714691327,13.5714691327,0,0
53.830002,53.830002,-0.4775113839,-0.4475117731,13.5714691327,13.5714691327,0,0
53.830002,53.75,-0.4475117731,-0.4153046139,13.5714691327,10.7142538265,0,0.080002
53.75,54.5,-0.4153046139,-0.3229529178,10.7142538265,37.4999776786,0.080002,0.75
54.5,54.5,-0.3229529178,-0.2442289391,37.4999776786,37.4999776786,0.75,0
54.5,54.5,-0.2442289391,-0.1773473328,37.4999776786,37.4999776786,0,0
54.5,54.5,-0.1773473328,-0.1207477012,37.4999776786,37.4999776786,0,0
54.5,54.5,-0.1207477012,-0.0730662978,37.4999776786,37.4999776786,0,0
54.5,54.450001,-0.0730662978,-0.0366829286,37.4999776786,35.7142984694,0,0.049999
54.450001,59.200001,-0.0366829286,0.333620502,35.7142984694,100,0.049999,4.75
59.200001,62.299999,0.333620502,0.8093158336,100,100,4.75,3.099998
62.299999,61.5,0.8093158336,1.0644018424,100,90.6432854554,3.099998,0.799999
