Date,Open,High,Low,Close,Adj Close,Volume
2002-12-10,3.880000,3.890000,3.570000,3.680000,0.002339,4968841
2002-12-11,3.700000,3.850000,3.650000,3.690000,0.002345,2671660
2002-12-12,3.730000,3.730000,3.520000,3.520000,0.002237,6812791
2002-12-13,3.570000,3.580000,3.470000,3.530000,0.002244,2030606
2002-12-16,3.600000,3.640000,3.560000,3.590000,0.002282,2119629
2002-12-17,3.650000,3.690000,3.560000,3.580000,0.002275,1493556
2002-12-18,3.600000,3.630000,3.440000,3.460000,0.002199,1377826
2002-12-19,3.500000,3.530000,3.400000,3.420000,0.002174,1711982
2002-12-20,3.400000,3.510000,3.300000,3.300000,0.002097,1137437
2002-12-23,3.370000,3.460000,3.350000,3.410000,0.002167,4363686
2002-12-27,3.400000,3.450000,3.330000,3.390000,0.002155,424036
2002-12-30,3.350000,3.570000,3.300000,3.550000,0.002256,1911209
2003-01-02,3.570000,3.660000,3.430000,3.620000,0.002301,1144458
2003-01-03,3.670000,3.770000,3.640000,3.720000,0.002364,1721031
2003-01-07,3.750000,3.800000,3.670000,3.700000,0.002352,1675077
2003-01-08,3.700000,3.700000,3.510000,3.530000,0.002244,1000225
2003-01-09,3.520000,3.560000,3.490000,3.560000,0.002263,1967533
2003-01-10,3.600000,3.610000,3.520000,3.570000,0.002269,1292518
2003-01-13,3.550000,3.750000,3.540000,3.700000,0.002352,2053532
2003-01-14,3.660000,3.800000,3.660000,3.770000,0.002396,2510953
2003-01-15,3.770000,3.800000,3.680000,3.740000,0.002377,1510524
2003-01-16,3.700000,3.750000,3.670000,3.700000,0.002352,2353397
2003-01-17,3.680000,3.690000,3.610000,3.670000,0.002333,8249552
2003-01-20,3.630000,3.750000,3.590000,3.710000,0.002358,1321574
2003-01-21,3.700000,3.770000,3.680000,3.700000,0.002352,2928676
2003-01-22,3.700000,3.730000,3.640000,3.680000,0.002339,1030473
2003-01-23,3.630000,3.700000,3.560000,3.630000,0.002307,904001
2003-01-24,3.570000,3.670000,3.570000,3.610000,0.002294,548534
2003-01-27,3.600000,3.600000,3.400000,3.470000,0.002205,1933546
2003-01-28,3.430000,3.480000,3.350000,3.360000,0.002136,1672731
2003-01-29,3.370000,3.390000,3.290000,3.300000,0.002097,1336741
2003-01-30,3.360000,3.430000,3.320000,3.360000,0.002136,797284
2003-01-31,3.360000,3.360000,3.270000,3.330000,0.002116,689829
2003-02-03,3.320000,3.360000,3.300000,3.340000,0.002123,564025
2003-02-04,3.340000,3.350000,3.230000,3.290000,0.002091,758465
2003-02-05,3.310000,3.500000,3.200000,3.440000,0.002186,770623
2003-02-06,3.450000,3.450000,3.370000,3.420000,0.002174,1374105
2003-02-07,3.400000,3.460000,3.300000,3.310000,0.002104,2236103
2003-02-10,3.300000,3.420000,3.230000,3.280000,0.002085,554676
2003-02-11,3.300000,3.370000,3.270000,3.320000,0.002110,663249
2003-02-12,3.300000,3.440000,3.270000,3.440000,0.002186,349727
2003-02-13,3.390000,3.470000,3.360000,3.440000,0.002186,251697
2003-02-14,3.400000,3.500000,3.390000,3.460000,0.002199,1362516
2003-02-17,3.410000,3.640000,3.410000,3.610000,0.002294,828684
2003-02-18,3.600000,3.780000,3.550000,3.750000,0.002383,1782717
2003-02-19,3.700000,3.750000,3.310000,3.340000,0.002123,2595949
2003-02-20,3.400000,3.400000,3.060000,3.090000,0.001964,4726340
2003-02-21,3.080000,3.170000,3.000000,3.020000,0.001919,4466596
2003-02-24,3.090000,3.130000,3.030000,3.080000,0.001958,462252
