Date,Open,High,Low,Close,Adj Close,Volume
2016-04-29,6.700000,6.780000,6.610000,6.700000,6.440849,29999812
2016-05-02,6.710000,6.710000,6.700000,6.700000,6.440849,406098
2016-05-03,6.710000,6.740000,6.700000,6.700000,6.440849,147269
2016-05-04,6.710000,6.720000,6.680000,6.710000,6.450462,400917
2016-05-06,6.710000,6.730000,6.700000,6.730000,6.469689,169461
2016-05-09,6.730000,6.780000,6.720000,6.780000,6.517755,154927
2016-05-10,6.800000,6.800000,6.750000,6.760000,6.498528,34531
2016-05-11,6.790000,6.790000,6.750000,6.780000,6.517755,40921
2016-05-12,6.780000,6.810000,6.750000,6.780000,6.517755,42348
2016-05-13,6.790000,6.820000,6.780000,6.820000,6.556208,316315
2016-05-16,6.820000,6.820000,6.790000,6.790000,6.527368,29248
2016-05-17,6.850000,6.850000,6.790000,6.820000,6.556208,85753
2016-05-18,6.820000,6.850000,6.810000,6.830000,6.565821,46704
2016-05-19,6.900000,6.950000,6.700000,6.800000,6.536981,693792
2016-05-20,6.790000,6.850000,6.760000,6.800000,6.536981,69533
2016-05-23,6.800000,6.800000,6.700000,6.750000,6.488915,4985
2016-05-24,6.750000,6.760000,6.700000,6.750000,6.488915,9723
2016-05-25,6.660000,6.760000,6.660000,6.710000,6.450462,10468
2016-05-26,6.710000,6.760000,6.710000,6.710000,6.450462,11533
2016-05-27,6.710000,6.760000,6.710000,6.750000,6.488915,87086
2016-05-30,6.760000,6.760000,6.750000,6.750000,6.488915,13932
2016-05-31,6.750000,6.750000,6.710000,6.710000,6.450462,47204
2016-06-01,6.720000,6.720000,6.650000,6.660000,6.402396,58232
2016-06-02,6.640000,6.710000,6.630000,6.700000,6.440849,2833
2016-06-03,6.660000,6.660000,6.610000,6.610000,6.354331,60029
2016-06-06,6.720000,6.720000,6.560000,6.610000,6.354331,6545
2016-06-07,6.600000,6.730000,6.560000,6.700000,6.440849,51624
2016-06-08,6.780000,6.880000,6.720000,6.780000,6.517755,60669
2016-06-09,6.800000,6.810000,6.770000,6.800000,6.536981,28061
2016-06-10,6.800000,6.870000,6.780000,6.870000,6.604273,118837
2016-06-13,6.880000,6.930000,6.820000,6.870000,6.604273,27110
2016-06-14,6.870000,6.970000,6.870000,6.890000,6.623500,29530
2016-06-15,6.890000,6.920000,6.800000,6.800000,6.536981,35736
2016-06-16,6.770000,6.770000,6.690000,6.690000,6.431236,107944
2016-06-17,6.760000,6.760000,6.570000,6.570000,6.315877,11608
2016-06-20,6.670000,6.680000,6.570000,6.610000,6.354331,7463
2016-06-21,6.610000,6.700000,6.520000,6.540000,6.287038,74749
2016-06-22,6.560000,6.610000,6.560000,6.570000,6.315877,10579
2016-06-23,6.590000,6.700000,6.580000,6.650000,6.392783,9954
2016-06-27,6.650000,6.670000,6.260000,6.260000,6.017868,150770
2016-06-28,6.420000,6.720000,6.420000,6.550000,6.296651,6207
