Close,CloseTarget,MACD,Stochastics,ATR
6.8,6.8,0.0046456405,76.9230769231,0.25
6.8,6.75,0.0034590247,76.9230769231,0.09
6.75,6.75,-0.000211502,38.4615384615,0.1
6.75,6.71,-0.0027552144,33.3333333333,0.06
6.71,6.71,-0.006682652,0,0.1
6.71,6.75,-0.0091863634,0,0.05
6.75,6.75,-0.0083221037,33.3333333333,0.05
6.75,6.71,-0.0074879071,33.3333333333,0.01
6.71,6.66,-0.0090792493,0,0.04
6.66,6.7,-0.0129182032,0,0.07
6.7,6.61,-0.0126964175,23.5294117647,0.08
6.61,6.61,-0.0176899587,0,0.09
6.61,6.7,-0.0205407605,0,0.16
6.7,6.78,-0.0160858945,47.3684210526,0.17
6.78,6.8,-0.0072547422,89.4736842105,0.18
6.8,6.87,0.0005258049,100,0.04
6.87,6.87,0.0105843455,100,0.09
6.87,6.89,0.0173470276,100,0.11
6.89,6.8,0.0228861781,100,0.1
6.8,6.69,0.0200681211,67.8571428571,0.12
6.69,6.57,0.0100885652,28.5714285714,0.11
6.57,6.61,-0.0053171203,0,0.19
6.61,6.54,-0.0132704008,12.5,0.11
6.54,6.57,-0.0231684148,0,0.18
6.57,6.65,-0.0272981991,8.5714285714,0.07
6.65,6.26,-0.0237834749,31.4285714286,0.13
6.26,6.55,-0.0472193542,0,0.41
6.55,6.46,-0.0420636033,46.0317460317,0.46
6.46,6.55,-0.0431025001,31.746031746,0.28
6.55,6.61,-0.035964311,46.0317460317,0.18
6.61,6.61,-0.0253263132,55.5555555556,0.18
6.61,6.68,-0.0167047775,55.5555555556,0.23
6.68,6.67,-0.0048734109,77.7777777778,0.12
6.67,6.68,0.0032593366,95.3488372093,0.1
6.68,6.55,0.0099239174,100,0.04
6.55,6.63,0.0055008347,69.0476190476,0.19
6.63,6.61,0.0081574536,88.0952380952,0.19
6.61,6.67,0.0086717515,83.3333333333,0.09
6.67,6.67,0.0132918216,97.619047619,0.07
6.67,6.53,0.016409397,97.619047619,0.07
6.53,6.59,0.0084485988,31.8181818182,0.14
6.59,6.53,0.0070749901,59.0909090909,0.07
6.53,6.43,0.0018786102,0,0.07
6.43,6.46,-0.0086901096,0,0.1
6.46,6.5,-0.0134730676,12,0.09
6.5,6.5,-0.0132974653,28,0.17
6.5,6.5,-0.012459911,28,0.13
6.5,6.5,-0.0111683253,28,0.02
6.5,6.49,-0.0095852267,29.1666666667,0.15
6.49,6.58,-0.0085488937,25,0.23
6.58,6.5,-0.000791653,62.5,0.09
6.5,6.56,-0.0006672988,29.1666666667,0.08
6.56,6.63,0.0040621239,54.1666666667,0.14
6.63,6.65,0.012598408,100,0.14
6.65,6.58,0.0199621013,100,0.09
6.58,6.72,0.0198104421,68.1818181818,0.08
6.72,6.77,0.0293525247,100,0.14
6.77,7.13,0.0389585696,100,0.08
7.13,7.25,0.0704338133,100,0.4
7.25,7.01,0.0990785131,100,0.33
7.01,7.3,0.0989383281,68.4210526316,0.29
7.3,7.3,0.116330187,100,0.32
7.3,7.32,0.1246363417,100,0.05
7.32,7.36,0.1275615497,100,0.07
7.36,7.6,0.1278868682,100,0.08
7.6,7.76,0.140551494,100,0.24
7.76,8,0.1556227245,100,0.25
8,7.86,0.1774672355,100,0.41
7.86,7.8,0.1759551117,90.1408450704,0.23
7.8,7.95,0.163555258,84.375,0.16
7.95,7.99,0.1587421662,95.9349593496,0.2
7.99,8.17,0.1513656795,98.9898989899,0.06
8.17,8.2,0.1522836342,100,0.26
8.2,8.02,0.1480917244,100,0.08
8.02,7.94,0.1252012889,80,0.2
7.94,7.65,0.0968854486,71.1111111111,0.23
7.65,7.76,0.050473819,37.5,0.35
7.76,7.89,0.0214182062,47.619047619,0.37
7.89,7.97,0.0069386497,48.3333333333,0.18
7.97,8.2,-0.000395504,58.1818181818,0.14
8.2,8.08,0.0083054633,100,0.33
8.08,8.11,0.0029143283,78.1818181818,0.19
8.11,8.2,-0.0014820901,83.6363636364,0.09
8.2,8.2,-0.0007296415,100,0.12
8.2,8.31,-0.0028278603,100,0.24
8.31,8.6,0.0010278553,100,0.22
8.6,8.71,0.0218754783,100,0.59
8.71,8.66,0.0410969807,100,0.16
8.66,8.84,0.0470289312,95.2830188679,0.16
8.84,8.95,0.0598543952,100,0.24
8.95,9.1,0.0720394362,100,0.2
9.1,9.08,0.086173143,100,0.45
9.08,9.14,0.088930079,98.2300884956,0.23
9.14,9.48,0.0892178044,100,0.12
9.48,9.64,0.107751616,100,0.43
9.64,9.69,0.1255170994,100,0.57
9.69,9.55,0.1341351981,100,0.15
9.55,9.27,0.1222369009,90.6040268456,0.25
9.27,9.13,0.0860626096,69.5652173913,0.3
9.13,9.14,0.043876368,48.623853211,0.25
9.14,9.1,0.009514635,46.6019417476,0.3
9.1,9.07,-0.0218334693,42.7184466019,0.17
9.07,8.93,-0.0493135749,27.0588235294,0.18
8.93,9,-0.0810297336,0,0.17
9,9,-0.0995532289,9.2105263158,0.17
9,8.9,-0.1130948074,9.2105263158,0.15
8.9,8.94,-0.1297413504,0,0.12
8.94,8.99,-0.1378478689,5.0632911392,0.12
8.99,8.99,-0.1387989075,11.3924050633,0.12
8.99,9.06,-0.138105361,11.3924050633,0.18
9.06,8.85,-0.1310916103,24.6153846154,0.15
8.85,9,-0.1397970135,0,0.33
9,8.91,-0.1333047246,51.724137931,0.4
8.91,9.2,-0.1333811807,20.6896551724,0.53
9.2,8.99,-0.1106543112,100,0.45
8.99,8.87,-0.1083430023,40,0.54
8.87,8.68,-0.1139163372,5.7142857143,0.13
8.68,8.35,-0.1297671662,0,0.22
8.35,8.46,-0.1622622342,0,0.33
8.46,8.24,-0.1736831956,12.9411764706,0.4
8.24,8.42,-0.1933734132,0,0.46
8.42,8.47,-0.1893287612,18.75,0.3
8.47,8.7,-0.1777943501,23.9583333333,0.17
8.7,8.77,-0.1482213693,47.9166666667,0.75
8.77,8.34,-0.1181905049,55.2083333333,0.1
8.34,8.38,-0.1245570075,10.4166666667,0.48
8.38,8.29,-0.1225003341,14.5833333333,0.4
8.29,8.21,-0.123763429,5.2083333333,0.28
8.21,8.26,-0.1264681126,0,0.16
8.26,8.23,-0.1206256922,7.5757575758,0.09
8.23,8.25,-0.1145489326,3.5714285714,0.15
8.25,8.15,-0.1047806024,7.1428571429,0.1
8.15,8.02,-0.1012168081,0,0.17
8.02,7.98,-0.1041802043,0,0.16
7.98,8.02,-0.1050713609,0,0.11
8.02,7.85,-0.0986096165,5.0632911392,0.12
7.85,8,-0.1021337313,0,0.17
8,8.15,-0.089496155,16.3043478261,0.15
8.15,8.37,-0.0657637701,56.6037735849,0.29
8.37,8.28,-0.0298648409,98.1132075472,0.34
8.28,8.44,-0.0087546532,82.6923076923,0.11
8.44,8.44,0.0192125566,100,0.23
8.44,8.41,0.0396134404,100,0.15
8.41,8.43,0.0518291479,94.9152542373,0.18
8.43,8.46,0.0614141285,98.3050847458,0.2
8.46,8.55,0.0694862224,100,0.11
8.55,8.53,0.0804624544,100,0.17
8.53,8.43,0.0851471386,97.1428571429,0.15
8.43,8.39,0.0794053891,82.8571428571,0.13
8.39,8.42,0.0707120656,77.1428571429,0.12
8.42,8.35,0.0651599393,76.3636363636,0.11
8.35,8.45,0.0547461989,50,0.1
8.45,8.35,0.053379394,62.962962963,0.19
8.35,8.58,0.0440156822,25.9259259259,0.3
8.58,8.56,0.0529540037,100,0.23
8.56,8.61,0.0565033692,91.3043478261,0.08
8.61,8.54,0.0611008134,100,0.09
8.54,8.5,0.0576055893,73.0769230769,0.14
8.5,8.72,0.0506037196,57.6923076923,0.25
8.72,9.11,0.0599616064,100,0.43
9.11,9.5,0.0926933998,100,0.52
9.5,9.16,0.1407567297,100,0.41
9.16,8.85,0.145526517,70.4347826087,0.58
8.85,8.75,0.1216046078,43.4782608696,0.47
8.75,9.1,0.0931530195,34.7826086957,0.33
9.1,8.89,0.0946167869,65.2173913043,0.43
8.89,8.98,0.0768150923,46.9565217391,0.49
8.98,8.9,0.0674477126,48,0.22
8.9,8.87,0.0520445263,40,0.15
8.87,8.79,0.0364072512,37,0.25
8.79,8.96,0.0174726495,29,0.25
8.96,9,0.0147459857,46,0.2
9,8.92,0.0141848688,35.8974358974,0.14
8.92,8.88,0.0065370993,22.6666666667,0.43
8.88,9.09,-0.0029992936,17.3333333333,0.16
9.09,9.07,0.0043890148,82.9268292683,0.22
