Close,CloseTarget,MACD,MACDTarget,Stochastics,StochasticsTarget,ATR,ATRTarget
6.8,6.8,0.0046456405,0.0034590247,76.9230769231,76.9230769231,0.25,0.09
6.8,6.75,0.0034590247,-0.000211502,76.9230769231,38.4615384615,0.09,0.1
6.75,6.75,-0.000211502,-0.0027552144,38.4615384615,33.3333333333,0.1,0.06
6.75,6.71,-0.0027552144,-0.006682652,33.3333333333,0,0.06,0.1
6.71,6.71,-0.006682652,-0.0091863634,0,0,0.1,0.05
6.71,6.75,-0.0091863634,-0.0083221037,0,33.3333333333,0.05,0.05
6.75,6.75,-0.0083221037,-0.0074879071,33.3333333333,33.3333333333,0.05,0.01
6.75,6.71,-0.0074879071,-0.0090792493,33.3333333333,0,0.01,0.04
6.71,6.66,-0.0090792493,-0.0129182032,0,0,0.04,0.07
6.66,6.7,-0.0129182032,-0.0126964175,0,23.5294117647,0.07,0.08
6.7,6.61,-0.0126964175,-0.0176899587,23.5294117647,0,0.08,0.09
6.61,6.61,-0.0176899587,-0.0205407605,0,0,0.09,0.16
6.61,6.7,-0.0205407605,-0.0160858945,0,47.3684210526,0.16,0.17
6.7,6.78,-0.0160858945,-0.0072547422,47.3684210526,89.4736842105,0.17,0.18
6.78,6.8,-0.0072547422,0.0005258049,89.4736842105,100,0.18,0.04
6.8,6.87,0.0005258049,0.0105843455,100,100,0.04,0.09
6.87,6.87,0.0105843455,0.0173470276,100,100,0.09,0.11
6.87,6.89,0.0173470276,0.0228861781,100,100,0.11,0.1
6.89,6.8,0.0228861781,0.0200681211,100,67.8571428571,0.1,0.12
6.8,6.69,0.0200681211,0.0100885652,67.8571428571,28.5714285714,0.12,0.11
6.69,6.57,0.0100885652,-0.0053171203,28.5714285714,0,0.11,0.19
6.57,6.61,-0.0053171203,-0.0132704008,0,12.5,0.19,0.11
6.61,6.54,-0.0132704008,-0.0231684148,12.5,0,0.11,0.18
6.54,6.57,-0.0231684148,-0.0272981991,0,8.5714285714,0.18,0.07
6.57,6.65,-0.0272981991,-0.0237834749,8.5714285714,31.4285714286,0.07,0.13
6.65,6.26,-0.0237834749,-0.0472193542,31.4285714286,0,0.13,0.41
6.26,6.55,-0.0472193542,-0.0420636033,0,46.0317460317,0.41,0.46
6.55,6.46,-0.0420636033,-0.0431025001,46.0317460317,31.746031746,0.46,0.28
6.46,6.55,-0.0431025001,-0.035964311,31.746031746,46.0317460317,0.28,0.18
6.55,6.61,-0.035964311,-0.0253263132,46.0317460317,55.5555555556,0.18,0.18
6.61,6.61,-0.0253263132,-0.0167047775,55.5555555556,55.5555555556,0.18,0.23
6.61,6.68,-0.0167047775,-0.0048734109,55.5555555556,77.7777777778,0.23,0.12
6.68,6.67,-0.0048734109,0.0032593366,77.7777777778,95.3488372093,0.12,0.1
6.67,6.68,0.0032593366,0.0099239174,95.3488372093,100,0.1,0.04
6.68,6.55,0.0099239174,0.0055008347,100,69.0476190476,0.04,0.19
6.55,6.63,0.0055008347,0.0081574536,69.0476190476,88.0952380952,0.19,0.19
6.63,6.61,0.0081574536,0.0086717515,88.0952380952,83.3333333333,0.19,0.09
6.61,6.67,0.0086717515,0.0132918216,83.3333333333,97.619047619,0.09,0.07
6.67,6.67,0.0132918216,0.016409397,97.619047619,97.619047619,0.07,0.07
6.67,6.53,0.016409397,0.0084485988,97.619047619,31.8181818182,0.07,0.14
6.53,6.59,0.0084485988,0.0070749901,31.8181818182,59.0909090909,0.14,0.07
6.59,6.53,0.0070749901,0.0018786102,59.0909090909,0,0.07,0.07
6.53,6.43,0.0018786102,-0.0086901096,0,0,0.07,0.1
6.43,6.46,-0.0086901096,-0.0134730676,0,12,0.1,0.09
6.46,6.5,-0.0134730676,-0.0132974653,12,28,0.09,0.17
6.5,6.5,-0.0132974653,-0.012459911,28,28,0.17,0.13
6.5,6.5,-0.012459911,-0.0111683253,28,28,0.13,0.02
6.5,6.5,-0.0111683253,-0.0095852267,28,29.1666666667,0.02,0.15
6.5,6.49,-0.0095852267,-0.0085488937,29.1666666667,25,0.15,0.23
6.49,6.58,-0.0085488937,-0.000791653,25,62.5,0.23,0.09
6.58,6.5,-0.000791653,-0.0006672988,62.5,29.1666666667,0.09,0.08
6.5,6.56,-0.0006672988,0.0040621239,29.1666666667,54.1666666667,0.08,0.14
6.56,6.63,0.0040621239,0.012598408,54.1666666667,100,0.14,0.14
6.63,6.65,0.012598408,0.0199621013,100,100,0.14,0.09
6.65,6.58,0.0199621013,0.0198104421,100,68.1818181818,0.09,0.08
6.58,6.72,0.0198104421,0.0293525247,68.1818181818,100,0.08,0.14
6.72,6.77,0.0293525247,0.0389585696,100,100,0.14,0.08
6.77,7.13,0.0389585696,0.0704338133,100,100,0.08,0.4
7.13,7.25,0.0704338133,0.0990785131,100,100,0.4,0.33
7.25,7.01,0.0990785131,0.0989383281,100,68.4210526316,0.33,0.29
7.01,7.3,0.0989383281,0.116330187,68.4210526316,100,0.29,0.32
7.3,7.3,0.116330187,0.1246363417,100,100,0.32,0.05
7.3,7.32,0.1246363417,0.1275615497,100,100,0.05,0.07
