Open,OpenTarget,High,HighTarget,Low,LowTarget,Close,CloseTarget
19,25.790001,25,30.42,17.540001,23.299999,23.889999,23.83
25.790001,25,30.42,25.92,23.299999,20.27,23.83,21.959999
25,23,25.92,23.1,20.27,18.709999,21.959999,19.200001
23,20,23.1,20,18.709999,15.83,19.200001,16.110001
20,16.4,20,16.629999,15.83,14.98,16.110001,15.8
16.4,16.139999,16.629999,17.52,14.98,15.57,15.8,17.459999
16.139999,17.58,17.52,17.9,15.57,16.549999,17.459999,17.4
17.58,17.950001,17.9,18.07,16.549999,17,17.4,17.049999
17.950001,17.389999,18.07,18.639999,17,16.9,17.049999,18.139999
17.389999,17.940001,18.639999,20.15,16.9,17.76,18.139999,19.84
17.940001,19.940001,20.15,21.5,17.76,19,19.84,19.889999
19.940001,20.700001,21.5,21.299999,19,20.049999,19.889999,20.639999
20.700001,21.370001,21.299999,22.25,20.049999,20.92,20.639999,21.91
21.370001,21.85,22.25,21.85,20.92,20.049999,21.91,20.299999
21.85,20.66,21.85,20.9,20.049999,19.5,20.299999,20.219999
20.66,20.5,20.9,21.25,19.5,20.370001,20.219999,21
20.5,21.190001,21.25,21.559999,20.370001,21.059999,21,21.290001
21.190001,21.5,21.559999,21.5,21.059999,20.299999,21.290001,20.950001
21.5,20.91,21.5,21.18,20.299999,20.26,20.950001,20.549999
20.91,20.549999,21.18,20.9,20.26,20.51,20.549999,20.719999
20.549999,20.77,20.9,20.879999,20.51,20,20.719999,20.35
20.77,20.200001,20.879999,20.440001,20,19.549999,20.35,19.940001
20.200001,20.5,20.440001,20.969999,19.549999,20.33,19.940001,20.92
20.5,21,20.969999,21.950001,20.33,20.82,20.92,21.950001
21,21.950001,21.950001,22.18,20.82,20.85,21.950001,21.26
21.950001,21.540001,22.18,21.549999,20.85,20.049999,21.26,20.450001
21.540001,20.1,21.549999,20.16,20.049999,19.52,20.450001,19.59
20.1,19.9,20.16,19.98,19.52,19.450001,19.59,19.6
19.9,19.65,19.98,19.65,19.450001,18.82,19.6,19.030001
19.65,18.690001,19.65,18.879999,18.82,17.85,19.030001,17.9
18.690001,17.799999,18.879999,17.9,17.85,17.389999,17.9,17.6
17.799999,18.18,17.9,18.450001,17.389999,17.66,17.6,18.32
18.18,18.450001,18.450001,18.799999,17.66,18.26,18.32,18.780001
18.450001,18.959999,18.799999,19.4,18.26,18.780001,18.780001,19.15
18.959999,19.59,19.4,19.59,18.780001,18.6,19.15,18.77
19.59,18.540001,19.59,19.25,18.6,18.33,18.77,18.790001
18.540001,18.65,19.25,19.110001,18.33,18.51,18.790001,19.1
18.65,19.09,19.110001,20.389999,18.51,19,19.1,20.129999
19.09,19.25,20.389999,19.709999,19,18.950001,20.129999,19.200001
19.25,19.16,19.709999,19.98,18.950001,18.559999,19.200001,19.9
19.16,19.889999,19.98,20.27,18.559999,19.6,19.9,19.75
19.889999,19.75,20.27,19.870001,19.6,19.5,19.75,19.700001
19.75,19.700001,19.870001,20.190001,19.5,19.610001,19.700001,19.870001
19.700001,19.66,20.190001,19.790001,19.610001,19.33,19.870001,19.48
19.66,19.620001,19.790001,20.690001,19.33,19.6,19.48,20.450001
19.620001,20.370001,20.690001,21.24,19.6,20.309999,20.450001,21.059999
20.370001,20.870001,21.24,21.299999,20.309999,20.66,21.059999,21.049999
20.870001,20.610001,21.299999,21,20.66,20.5,21.049999,20.540001
20.610001,20.66,21,20.950001,20.5,20.6,20.540001,20.9
20.66,21,20.950001,21.049999,20.6,20.690001,20.9,20.709999
21,20.75,21.049999,20.93,20.690001,19.76,20.709999,20.17
20.75,20.889999,20.93,20.9,19.76,20.5,20.17,20.719999
20.889999,20.540001,20.9,21.6,20.5,20.530001,20.719999,21.120001
20.540001,20.98,21.6,22,20.530001,20.790001,21.120001,21.98
20.98,22.15,22,23.16,20.790001,20.84,21.98,20.940001
22.15,21.02,23.16,21.32,20.84,19.799999,20.940001,20.23
21.02,20.67,21.32,21.35,19.799999,20.16,20.23,21.059999
20.67,20.889999,21.35,21.549999,20.16,20.67,21.059999,20.77
20.889999,20.870001,21.549999,20.950001,20.67,19.799999,20.77,19.870001
20.870001,19.889999,20.950001,20.139999,19.799999,19.5,19.870001,19.559999
19.889999,19.950001,20.139999,20.190001,19.5,19.65,19.559999,20.1
19.950001,20.4,20.190001,20.809999,19.65,20.049999,20.1,20.530001
20.4,21.040001,20.809999,21.49,20.049999,20.76,20.530001,21.4
21.040001,21.190001,21.49,22.030001,20.76,21.129999,21.4,21.98
21.190001,22,22.030001,22.15,21.129999,20.190001,21.98,20.41
22,20.690001,22.15,20.75,20.190001,20.309999,20.41,20.6
20.690001,20.43,20.75,21.17,20.309999,20.299999,20.6,20.99
20.43,21.15,21.17,21.280001,20.299999,21.01,20.99,21.120001
21.15,21.059999,21.280001,21.26,21.01,20.32,21.120001,20.459999
21.059999,20.57,21.26,20.639999,20.32,20.34,20.459999,20.43
20.57,20.43,20.639999,20.790001,20.34,20.389999,20.43,20.43
20.43,20.440001,20.790001,20.700001,20.389999,20.07,20.43,20.24
20.440001,20.200001,20.700001,20.280001,20.07,20.030001,20.24,20.24
20.200001,20.639999,20.280001,20.85,20.030001,20.360001,20.24,20.540001
20.639999,21,20.85,21.030001,20.360001,20.4,20.540001,20.75
21,20.889999,21.030001,20.9,20.4,20.25,20.75,20.540001
20.889999,20.52,20.9,20.639999,20.25,20.219999,20.540001,20.23
20.52,20.200001,20.639999,20.41,20.219999,20,20.23,20.049999
20.200001,20.16,20.41,20.690001,20,20.040001,20.049999,20.65
20.16,20.610001,20.690001,20.950001,20.040001,20.450001,20.65,20.75
20.610001,20.68,20.950001,20.93,20.450001,20.549999,20.75,20.719999
20.68,20.940001,20.93,20.98,20.549999,20.73,20.719999,20.85
20.940001,20.799999,20.98,21.870001,20.73,20.51,20.85,21.360001
20.799999,21.25,21.870001,21.379999,20.51,20.65,21.360001,21
