Close,CloseTarget,MACD,Stochastics,ATR
21.91,20.299999,0.3508053604,75.5253492615,1.610001
20.299999,20.219999,0.3325358819,56.0398381071,1.860001
20.219999,21,0.3054470765,71.7532421677,1.4
21,21.290001,0.3198692137,85.1063829787,1.030001
21.290001,20.950001,0.3350784548,89.8527168576,0.559999
20.950001,20.549999,0.3146153235,84.2880687398,1.200001
20.549999,20.719999,0.2664684157,72.0164460872,0.92
20.719999,20.35,0.2338112969,75.5143877542,0.39
20.35,19.940001,0.1805589018,67.9012411726,0.879999
19.940001,20.92,0.1119402455,47.745398476,0.890002
20.92,21.950001,0.119665824,52.1739130435,1.029998
21.950001,21.26,0.183698467,100,1.130001
21.26,20.450001,0.1773942873,65.6715920398,1.33
20.450001,19.59,0.1141570439,25.3731343284,1.5
19.59,19.6,0.0095007056,0,0.930001
19.6,19.030001,-0.0650308953,0.423728634,0.529999
19.030001,17.9,-0.1537734344,0,0.83
17.9,17.6,-0.286401993,0,1.180001
17.6,18.32,-0.390903368,0,0.510001
18.32,18.780001,-0.4042972149,16.5517203329,0.850001
18.780001,19.15,-0.3700303981,27.1264535341,0.539999
19.15,18.77,-0.308894379,35.6321757167,0.619999
18.77,18.790001,-0.2810189447,26.896545541,0.99
18.790001,19.1,-0.2500670626,27.3563385388,0.92
19.1,20.129999,-0.1979052687,34.4827506936,0.600001
20.129999,19.200001,-0.0829638453,69.1256557377,1.389999
19.200001,19.9,-0.0617439175,56.1403662665,1.179998
19.9,19.75,0.0049966084,90.9091268416,1.420001
19.75,19.700001,0.0430435252,84.9802707432,0.67
19.700001,19.870001,0.0665321416,83.0040249028,0.370001
19.870001,19.48,0.0942218881,89.7233951476,0.58
19.48,20.450001,0.0849030025,74.3083297661,0.540001
20.450001,21.059999,0.1446028575,100,1.210001
21.059999,21.049999,0.2257886502,100,0.930001
21.049999,20.540001,0.2758805633,99.5633185866,0.639999
20.540001,20.9,0.2670464611,77.2926538396,0.549999
20.9,20.709999,0.2778130819,92.951579693,0.41
20.709999,20.17,0.263023059,82.1428480321,0.359998
20.17,20.719999,0.2056908412,52.1505399468,1.17
20.719999,21.120001,0.1969249827,81.7204104521,0.73
21.120001,21.98,0.2118768234,100,1.069999
21.98,20.940001,0.275425026,100,1.209999
20.940001,20.23,0.2362745439,58.40004,2.32
20.23,21.059999,0.1490663414,30,1.520001
21.059999,20.77,0.1399109888,63.19996,1.19
20.77,19.870001,0.1063569074,33.1491712707,0.879999
19.870001,19.559999,0.0131553908,0,1.150002
19.559999,20.1,-0.0771838357,0,0.639999
20.1,20.530001,-0.1020112256,22.3140816884,0.630002
20.530001,21.4,-0.0875634474,40.0827107096,0.76
21.4,21.98,-0.0144003862,76.0330677549,0.959999
21.98,20.41,0.0771799913,100,0.900002
20.41,20.6,0.0253026687,35.1239937504,1.959999
20.6,20.99,-0.0004637803,42.9752301755,0.440001
20.99,21.120001,0.0072934096,59.0909259955,0.870001
21.120001,20.459999,0.0198606755,64.4628659244,0.290001
20.459999,20.43,-0.0210743664,37.1900672768,0.94
20.43,20.43,-0.053365019,35.9504396899,0.299999
20.43,20.24,-0.0763242597,35.9504396899,0.400002
20.24,20.24,-0.1054788083,28.0992032648,0.630001
20.24,20.540001,-0.1243563387,28.0992032648,0.25
20.540001,20.75,-0.1137682838,23.4043085106,0.61
20.75,20.540001,-0.0890525331,29.3103448276,0.630001
20.540001,20.23,-0.0851378246,17.2414367816,0.65
20.23,20.049999,-0.1030831803,0,0.42
20.049999,20.65,-0.1264421592,0,0.41
20.65,20.75,-0.0968421689,56.0747550005,0.65
20.75,20.719999,-0.066560355,65.4205319242,0.5
20.719999,20.85,-0.0460047936,62.6167053893,0.380001
20.85,21.360001,-0.0214418489,100,0.260001
21.360001,21,0.0324305307,100,1.360001
21,21.190001,0.0428398417,72.5190495892,0.729999
21.190001,21.84,0.0616573376,87.0229205757,0.540001
21.84,21.41,0.1187212146,100,0.800001
21.41,21.25,0.1233456022,75.9776670516,1.440001
21.25,21.77,0.1100690903,67.0391245591,0.83
21.77,24.9,0.1332434214,96.0893876596,1.34
24.9,24.440001,0.3684559719,100,3.56
24.440001,24.98,0.4877281026,90.5154864917,1.25
24.98,24.629999,0.5926273299,100,0.969999
24.629999,29.360001,0.6195171004,91.7840160131,1.640002
