Close,CloseTarget,MACD,MACDTarget,Stochastics,StochasticsTarget,ATR,ATRTarget
21.91,20.299999,0.3508053604,0.3325358819,75.5253492615,56.0398381071,1.610001,1.860001
20.299999,20.219999,0.3325358819,0.3054470765,56.0398381071,71.7532421677,1.860001,1.4
20.219999,21,0.3054470765,0.3198692137,71.7532421677,85.1063829787,1.4,1.030001
21,21.290001,0.3198692137,0.3350784548,85.1063829787,89.8527168576,1.030001,0.559999
21.290001,20.950001,0.3350784548,0.3146153235,89.8527168576,84.2880687398,0.559999,1.200001
20.950001,20.549999,0.3146153235,0.2664684157,84.2880687398,72.0164460872,1.200001,0.92
20.549999,20.719999,0.2664684157,0.2338112969,72.0164460872,75.5143877542,0.92,0.39
20.719999,20.35,0.2338112969,0.1805589018,75.5143877542,67.9012411726,0.39,0.879999
20.35,19.940001,0.1805589018,0.1119402455,67.9012411726,47.745398476,0.879999,0.890002
19.940001,20.92,0.1119402455,0.119665824,47.745398476,52.1739130435,0.890002,1.029998
20.92,21.950001,0.119665824,0.183698467,52.1739130435,100,1.029998,1.130001
21.950001,21.26,0.183698467,0.1773942873,100,65.6715920398,1.130001,1.33
21.26,20.450001,0.1773942873,0.1141570439,65.6715920398,25.3731343284,1.33,1.5
20.450001,19.59,0.1141570439,0.0095007056,25.3731343284,0,1.5,0.930001
19.59,19.6,0.0095007056,-0.0650308953,0,0.423728634,0.930001,0.529999
19.6,19.030001,-0.0650308953,-0.1537734344,0.423728634,0,0.529999,0.83
19.030001,17.9,-0.1537734344,-0.286401993,0,0,0.83,1.180001
17.9,17.6,-0.286401993,-0.390903368,0,0,1.180001,0.510001
17.6,18.32,-0.390903368,-0.4042972149,0,16.5517203329,0.510001,0.850001
18.32,18.780001,-0.4042972149,-0.3700303981,16.5517203329,27.1264535341,0.850001,0.539999
18.780001,19.15,-0.3700303981,-0.308894379,27.1264535341,35.6321757167,0.539999,0.619999
19.15,18.77,-0.308894379,-0.2810189447,35.6321757167,26.896545541,0.619999,0.99
18.77,18.790001,-0.2810189447,-0.2500670626,26.896545541,27.3563385388,0.99,0.92
18.790001,19.1,-0.2500670626,-0.1979052687,27.3563385388,34.4827506936,0.92,0.600001
19.1,20.129999,-0.1979052687,-0.0829638453,34.4827506936,69.1256557377,0.600001,1.389999
20.129999,19.200001,-0.0829638453,-0.0617439175,69.1256557377,56.1403662665,1.389999,1.179998
19.200001,19.9,-0.0617439175,0.0049966084,56.1403662665,90.9091268416,1.179998,1.420001
19.9,19.75,0.0049966084,0.0430435252,90.9091268416,84.9802707432,1.420001,0.67
19.75,19.700001,0.0430435252,0.0665321416,84.9802707432,83.0040249028,0.67,0.370001
19.700001,19.870001,0.0665321416,0.0942218881,83.0040249028,89.7233951476,0.370001,0.58
19.870001,19.48,0.0942218881,0.0849030025,89.7233951476,74.3083297661,0.58,0.540001
19.48,20.450001,0.0849030025,0.1446028575,74.3083297661,100,0.540001,1.210001
20.450001,21.059999,0.1446028575,0.2257886502,100,100,1.210001,0.930001
21.059999,21.049999,0.2257886502,0.2758805633,100,99.5633185866,0.930001,0.639999
21.049999,20.540001,0.2758805633,0.2670464611,99.5633185866,77.2926538396,0.639999,0.549999
20.540001,20.9,0.2670464611,0.2778130819,77.2926538396,92.951579693,0.549999,0.41
20.9,20.709999,0.2778130819,0.263023059,92.951579693,82.1428480321,0.41,0.359998
20.709999,20.17,0.263023059,0.2056908412,82.1428480321,52.1505399468,0.359998,1.17
20.17,20.719999,0.2056908412,0.1969249827,52.1505399468,81.7204104521,1.17,0.73
