Date,Open,High,Low,Close,Adj Close,Volume
2007-12-28,1.52,1.52,1.52,1.52,1.52,0.0
2008-01-02,1.59,1.59,1.59,1.59,1.59,200.0
2008-01-03,1.51,1.51,1.51,1.51,1.51,0.0
2008-01-04,1.57,1.57,1.57,1.57,1.57,0.0
2008-01-07,1.51,1.51,1.51,1.51,1.51,0.0
2008-01-08,1.51,1.51,1.51,1.51,1.51,200.0
2008-01-09,1.49,1.49,1.49,1.49,1.49,1300.0
2008-01-10,1.47,1.47,1.47,1.47,1.47,6750.0
2008-01-11,1.47,1.47,1.47,1.47,1.47,0.0
2008-01-14,1.39,1.39,1.39,1.39,1.39,115000.0
2008-01-15,1.43,1.43,1.43,1.43,1.43,200.0
2008-01-16,1.43,1.43,1.43,1.43,1.43,3775.0
2008-01-17,1.39,1.39,1.39,1.39,1.39,6000.0
2008-01-18,1.38,1.38,1.38,1.38,1.38,0.0
2008-01-21,1.39,1.39,1.39,1.39,1.39,10.0
2008-01-22,1.37,1.37,1.37,1.37,1.37,0.0
2008-01-23,1.38,1.38,1.38,1.38,1.38,125834.0
2008-01-24,1.45,1.45,1.45,1.45,1.45,0.0
2008-01-25,1.47,1.47,1.47,1.47,1.47,1000.0
2008-01-28,1.39,1.39,1.39,1.39,1.39,0.0
2008-01-29,1.44,1.44,1.44,1.44,1.44,10000.0
2008-01-30,1.47,1.47,1.47,1.47,1.47,0.0
2008-01-31,1.5,1.5,1.5,1.5,1.5,0.0
2008-02-01,1.47,1.47,1.47,1.47,1.47,350.0
2008-02-04,1.59,1.59,1.59,1.59,1.59,2000.0
2008-02-05,1.52,1.52,1.52,1.52,1.52,7000.0
2008-02-06,1.48,1.48,1.48,1.48,1.48,0.0
2008-02-07,1.43,1.43,1.43,1.43,1.43,30.0
2008-02-08,1.45,1.45,1.45,1.45,1.45,30.0
2008-02-11,1.45,1.45,1.45,1.45,1.45,2.0
2008-02-12,1.48,1.48,1.48,1.48,1.48,300000.0
2008-02-13,1.42,1.42,1.42,1.42,1.42,0.0
2008-02-14,1.42,1.42,1.42,1.42,1.42,1400.0
2008-02-15,1.4,1.4,1.4,1.4,1.4,0.0
2008-02-18,1.42,1.42,1.42,1.42,1.42,0.0
2008-02-19,1.46,1.46,1.46,1.46,1.46,40.0
2008-02-20,1.46,1.46,1.46,1.46,1.46,27.0
2008-02-21,1.47,1.47,1.47,1.47,1.47,86600.0
2008-02-22,1.52,1.52,1.52,1.52,1.52,0.0
2008-02-25,1.52,1.52,1.52,1.52,1.52,0.0
2008-02-26,1.52,1.52,1.52,1.52,1.52,3000.0
2008-02-27,1.48,1.48,1.48,1.48,1.48,0.0
2008-02-28,1.49,1.49,1.49,1.49,1.49,0.0
2008-02-29,1.5,1.5,1.5,1.5,1.5,100.0
2008-03-03,1.47,1.47,1.47,1.47,1.47,0.0
2008-03-04,1.46,1.46,1.46,1.46,1.46,0.0
2008-03-05,1.47,1.47,1.47,1.47,1.47,20.0
2008-03-07,1.46,1.46,1.46,1.46,1.46,17300.0
2008-03-10,1.45,1.45,1.45,1.45,1.45,130000.0
2008-03-11,1.43,1.43,1.43,1.43,1.43,8449.0
2008-03-12,1.45,1.45,1.45,1.45,1.45,15.0
2008-03-13,1.46,1.46,1.46,1.46,1.46,5085.0
2008-03-14,1.44,1.44,1.44,1.44,1.44,0.0
2008-03-17,1.44,1.44,1.44,1.44,1.44,40.0
2008-03-18,1.38,1.38,1.38,1.38,1.38,170.0
2008-03-19,1.42,1.42,1.42,1.42,1.42,5.0
2008-03-20,1.39,1.39,1.39,1.39,1.39,0.0
2008-03-25,1.41,1.41,1.41,1.41,1.41,1000.0
2008-03-26,1.47,1.47,1.47,1.47,1.47,0.0
2008-03-27,1.44,1.44,1.44,1.44,1.44,340.0
2008-03-28,1.41,1.41,1.41,1.41,1.41,27.0
2008-03-31,1.48,1.48,1.48,1.48,1.48,2200.0
2008-04-01,1.48,1.48,1.48,1.48,1.48,250.0
2008-04-02,1.48,1.48,1.48,1.48,1.48,11333.0
2008-04-03,1.52,1.52,1.52,1.52,1.52,0.0
2008-04-04,1.48,1.48,1.48,1.48,1.48,0.0
2008-04-07,1.4,1.4,1.4,1.4,1.4,0.0
2008-04-08,1.41,1.41,1.41,1.41,1.41,85.0
2008-04-09,1.4,1.4,1.4,1.4,1.4,0.0
2008-04-10,1.37,1.37,1.37,1.37,1.37,930.0
2008-04-11,1.34,1.34,1.34,1.34,1.34,560.0
2008-04-14,1.33,1.33,1.33,1.33,1.33,0.0
2008-04-15,1.36,1.36,1.36,1.36,1.36,420.0
2008-04-16,1.35,1.35,1.35,1.35,1.35,500.0
2008-04-17,1.38,1.38,1.38,1.38,1.38,10.0
2008-04-18,1.37,1.37,1.37,1.37,1.37,200000.0
2008-04-21,1.36,1.36,1.36,1.36,1.36,2200.0
2008-04-22,1.36,1.36,1.36,1.36,1.36,70.0
2008-04-23,1.29,1.29,1.29,1.29,1.29,100.0
2008-04-24,1.29,1.29,1.29,1.29,1.29,0.0
2008-04-25,1.29,1.29,1.29,1.29,1.29,2500.0
2008-04-28,1.31,1.31,1.31,1.31,1.31,14.0
2008-04-29,1.34,1.34,1.34,1.34,1.34,73333.0
2008-04-30,1.31,1.33,1.31,1.33,1.33,0.0
2008-05-02,1.31,1.31,1.31,1.31,1.31,140.0
2008-05-05,1.34,1.34,1.34,1.34,1.34,5000.0
2008-05-06,1.34,1.34,1.34,1.34,1.34,60.0
2008-05-07,1.3,1.3,1.3,1.3,1.3,10000.0
2008-05-08,1.31,1.31,1.31,1.31,1.31,50.0
2008-05-09,1.31,1.31,1.31,1.31,1.31,0.0
2008-05-12,1.28,1.28,1.28,1.28,1.28,800.0
2008-05-13,1.31,1.31,1.31,1.31,1.31,200.0
2008-05-14,1.33,1.33,1.33,1.33,1.33,1338.0
2008-05-15,1.32,1.32,1.32,1.32,1.32,118.0
2008-05-16,1.31,1.31,1.31,1.31,1.31,10000.0
2008-05-19,1.3,1.3,1.3,1.3,1.3,500.0
